Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , duk , testcase , fannkuch-redux , package , 42.723876953125000000, core , 23.181701660156250000, gpu ,  0 , dram ,  7.193038940429687500, VMPEAK ,    8236 , time , 1344 
compiler , duk , testcase , fannkuch-redux , package , 39.102233886718750000, core , 24.647598266601562500, gpu ,  0 , dram ,  5.272628784179687500, VMPEAK ,    8236 , time , 995 
compiler , duk , testcase , fannkuch-redux , package , 37.978607177734375000, core , 23.969741821289062500, gpu ,  0 , dram ,  5.095932006835937500, VMPEAK ,    8236 , time , 966 
compiler , duk , testcase , fannkuch-redux , package , 38.679763793945312500, core , 24.420928955078125000, gpu ,  0 , dram ,  5.214462280273437500, VMPEAK ,    8236 , time , 982 
compiler , duk , testcase , fannkuch-redux , package , 45.102188110351562500, core , 28.352523803710937500, gpu ,  0 , dram ,  6.132904052734375000, VMPEAK ,    8236 , time , 1152 
compiler , duk , testcase , fannkuch-redux , package , 37.514862060546875000, core , 23.645812988281250000, gpu ,  0 , dram ,  5.127273559570312500, VMPEAK ,    8236 , time , 955 
compiler , duk , testcase , fannkuch-redux , package , 38.017944335937500000, core , 24.019897460937500000, gpu ,  0 , dram ,  5.140914916992187500, VMPEAK ,    8236 , time , 964 
compiler , duk , testcase , fannkuch-redux , package , 38.798278808593750000, core , 24.503967285156250000, gpu ,  0 , dram ,  5.256042480468750000, VMPEAK ,    8236 , time , 984 
compiler , duk , testcase , fannkuch-redux , package , 39.817047119140625000, core , 25.141128540039062500, gpu ,  0 , dram ,  5.386978149414062500, VMPEAK ,    8236 , time , 1009 
compiler , duk , testcase , fannkuch-redux , package , 37.991317749023437500, core , 24.007034301757812500, gpu ,  0 , dram ,  5.143188476562500000, VMPEAK ,    8236 , time , 964 
