Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , ch-nojit , testcase , n-body , package , 334.090713500976562500, core , 208.984619140625000000, gpu ,  0 , dram ,  44.074188232421875000, VMPEAK ,    8236 , time , 8673 
compiler , ch-nojit , testcase , n-body , package , 338.874160766601562500, core , 212.988174438476562500, gpu ,  0 , dram ,  44.368362426757812500, VMPEAK ,    8236 , time , 8715 
compiler , ch-nojit , testcase , n-body , package , 336.586639404296875000, core , 211.611389160156250000, gpu ,  0 , dram ,  44.283874511718750000, VMPEAK ,    8236 , time , 8654 
compiler , ch-nojit , testcase , n-body , package , 338.803314208984375000, core , 213.148635864257812500, gpu ,  0 , dram ,  44.317840576171875000, VMPEAK ,    8236 , time , 8709 
compiler , ch-nojit , testcase , n-body , package , 337.209487915039062500, core , 211.838821411132812500, gpu ,  0 , dram ,  44.574218750000000000, VMPEAK ,    8236 , time , 8689 
compiler , ch-nojit , testcase , n-body , package , 336.006072998046875000, core , 211.123214721679687500, gpu ,  0 , dram ,  44.503250122070312500, VMPEAK ,    8236 , time , 8647 
compiler , ch-nojit , testcase , n-body , package , 337.210357666015625000, core , 212.063842773437500000, gpu ,  0 , dram ,  44.950820922851562500, VMPEAK ,    8236 , time , 8659 
compiler , ch-nojit , testcase , n-body , package , 337.236679077148437500, core , 211.975845336914062500, gpu ,  0 , dram ,  44.253677368164062500, VMPEAK ,    8236 , time , 8657 
compiler , ch-nojit , testcase , n-body , package , 338.318176269531250000, core , 212.915298461914062500, gpu ,  0 , dram ,  44.300155639648437500, VMPEAK ,    8236 , time , 8664 
compiler , ch-nojit , testcase , n-body , package , 341.442337036132812500, core , 215.071960449218750000, gpu ,  0 , dram ,  44.911605834960937500, VMPEAK ,    8236 , time , 8721 
