Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , 3d-morph , package , 3194.845428466796875000, core , 2049.519638061523437500, gpu ,  0 , dram ,  410.566955566406250000, VMPEAK ,    8236 , time , 78802 
compiler , hermes-gengc , testcase , 3d-morph , package , 3230.422409057617187500, core , 2084.008377075195312500, gpu ,  0 , dram ,  411.621688842773437500, VMPEAK ,    8236 , time , 78662 
compiler , hermes-gengc , testcase , 3d-morph , package , 3279.195571899414062500, core , 2118.022048950195312500, gpu ,  0 , dram ,  418.106658935546875000, VMPEAK ,    8236 , time , 79437 
compiler , hermes-gengc , testcase , 3d-morph , package , 3304.278869628906250000, core , -63401.407043457031250000, gpu ,  0 , dram ,  419.365737915039062500, VMPEAK ,    8236 , time , 79857 
compiler , hermes-gengc , testcase , 3d-morph , package , -62216.235931396484375000, core , 2145.006698608398437500, gpu ,  0 , dram ,  419.318725585937500000, VMPEAK ,    8236 , time , 80126 
compiler , hermes-gengc , testcase , 3d-morph , package , 3304.110076904296875000, core , 2136.211532592773437500, gpu ,  0 , dram ,  417.739120483398437500, VMPEAK ,    8236 , time , 79583 
compiler , hermes-gengc , testcase , 3d-morph , package , 3300.729263305664062500, core , 2134.292694091796875000, gpu ,  0 , dram ,  416.146911621093750000, VMPEAK ,    8236 , time , 79465 
compiler , hermes-gengc , testcase , 3d-morph , package , 3351.087127685546875000, core , 2165.691360473632812500, gpu ,  0 , dram ,  424.285644531250000000, VMPEAK ,    8236 , time , 80756 
compiler , hermes-gengc , testcase , 3d-morph , package , 3299.659057617187500000, core , 2133.726821899414062500, gpu ,  0 , dram ,  416.352966308593750000, VMPEAK ,    8236 , time , 79399 
compiler , hermes-gengc , testcase , 3d-morph , package , 3301.736862182617187500, core , 2135.598037719726562500, gpu ,  0 , dram ,  414.559478759765625000, VMPEAK ,    8236 , time , 79426 
