Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , 3d-morph , package , 25.111862182617187500, core , 15.809051513671875000, gpu ,  0 , dram ,  3.753967285156250000, VMPEAK ,    8236 , time , 644 
compiler , js , testcase , 3d-morph , package , 24.964279174804687500, core , 15.807434082031250000, gpu ,  0 , dram ,  3.662597656250000000, VMPEAK ,    8236 , time , 632 
compiler , js , testcase , 3d-morph , package , 24.675369262695312500, core , 15.628890991210937500, gpu ,  0 , dram ,  3.681030273437500000, VMPEAK ,    8236 , time , 623 
compiler , js , testcase , 3d-morph , package , 23.969848632812500000, core , 15.183181762695312500, gpu ,  0 , dram ,  3.549942016601562500, VMPEAK ,    8236 , time , 606 
compiler , js , testcase , 3d-morph , package , 24.469512939453125000, core , 15.508148193359375000, gpu ,  0 , dram ,  3.621948242187500000, VMPEAK ,    8236 , time , 618 
compiler , js , testcase , 3d-morph , package , 24.826080322265625000, core , 15.731964111328125000, gpu ,  0 , dram ,  3.679489135742187500, VMPEAK ,    8236 , time , 626 
compiler , js , testcase , 3d-morph , package , 25.116455078125000000, core , 15.935211181640625000, gpu ,  0 , dram ,  3.708663940429687500, VMPEAK ,    8236 , time , 634 
compiler , js , testcase , 3d-morph , package , 24.468719482421875000, core , 15.502899169921875000, gpu ,  0 , dram ,  3.607116699218750000, VMPEAK ,    8236 , time , 618 
compiler , js , testcase , 3d-morph , package , 23.970809936523437500, core , 15.194122314453125000, gpu ,  0 , dram ,  3.552871704101562500, VMPEAK ,    8236 , time , 605 
compiler , js , testcase , 3d-morph , package , 24.570922851562500000, core , 15.576126098632812500, gpu ,  0 , dram ,  3.613403320312500000, VMPEAK ,    8236 , time , 619 
