Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , d8 , testcase , array-every , package , 0.528259277343750000, core , 0.267089843750000000, gpu ,  0 , dram ,  0.108612060546875000, VMPEAK ,    8236 , time , 18 
compiler , d8 , testcase , array-every , package , 0.469192504882812500, core , 0.295532226562500000, gpu ,  0 , dram ,  0.074462890625000000, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.429901123046875000, core , 0.270858764648437500, gpu ,  0 , dram ,  0.068649291992187500, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.469940185546875000, core , 0.296218872070312500, gpu ,  0 , dram ,  0.074478149414062500, VMPEAK ,    8236 , time , 12 
compiler , d8 , testcase , array-every , package , 0.470230102539062500, core , 0.296569824218750000, gpu ,  0 , dram ,  0.074447631835937500, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.470046997070312500, core , 0.296310424804687500, gpu ,  0 , dram ,  0.073577880859375000, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.469894409179687500, core , 0.296173095703125000, gpu ,  0 , dram ,  0.071411132812500000, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.470504760742187500, core , 0.296829223632812500, gpu ,  0 , dram ,  0.071350097656250000, VMPEAK ,    8236 , time , 11 
compiler , d8 , testcase , array-every , package , 0.471054077148437500, core , 0.297210693359375000, gpu ,  0 , dram ,  0.071838378906250000, VMPEAK ,    8236 , time , 12 
compiler , d8 , testcase , array-every , package , 0.470535278320312500, core , 0.296813964843750000, gpu ,  0 , dram ,  0.071395874023437500, VMPEAK ,    8236 , time , 11 
