Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , iter-double-linked-list , package , 23.485671997070312500, core , 11.143829345703125000, gpu ,  0 , dram ,  5.743957519531250000, VMPEAK ,    8236 , time , 847 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.294937133789062500, core , 14.085617065429687500, gpu ,  0 , dram ,  4.033630371093750000, VMPEAK ,    8236 , time , 559 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.329360961914062500, core , 14.137756347656250000, gpu ,  0 , dram ,  4.032302856445312500, VMPEAK ,    8236 , time , 560 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.386276245117187500, core , 14.154418945312500000, gpu ,  0 , dram ,  4.034179687500000000, VMPEAK ,    8236 , time , 561 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.415603637695312500, core , 14.180480957031250000, gpu ,  0 , dram ,  4.046188354492187500, VMPEAK ,    8236 , time , 560 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.366790771484375000, core , 14.145492553710937500, gpu ,  0 , dram ,  4.034393310546875000, VMPEAK ,    8236 , time , 560 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.540481567382812500, core , 14.260650634765625000, gpu ,  0 , dram ,  4.047271728515625000, VMPEAK ,    8236 , time , 563 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.474166870117187500, core , 14.224258422851562500, gpu ,  0 , dram ,  4.041809082031250000, VMPEAK ,    8236 , time , 561 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.494338989257812500, core , 14.228668212890625000, gpu ,  0 , dram ,  4.049102783203125000, VMPEAK ,    8236 , time , 563 
compiler , js-52 , testcase , iter-double-linked-list , package , 22.020706176757812500, core , 13.929351806640625000, gpu ,  0 , dram ,  3.958129882812500000, VMPEAK ,    8236 , time , 551 
