Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-512k , testcase , spectral-norm , package , 731.101272583007812500, core , 460.023269653320312500, gpu ,  0 , dram ,  95.610198974609375000, VMPEAK ,    8236 , time , 18771 
compiler , jerry-512k , testcase , spectral-norm , package , 789.422317504882812500, core , 496.779891967773437500, gpu ,  0 , dram ,  104.773666381835937500, VMPEAK ,    8236 , time , 20278 
compiler , jerry-512k , testcase , spectral-norm , package , 734.210205078125000000, core , 462.923980712890625000, gpu ,  0 , dram ,  98.504089355468750000, VMPEAK ,    8236 , time , 18778 
compiler , jerry-512k , testcase , spectral-norm , package , 736.796157836914062500, core , 464.930679321289062500, gpu ,  0 , dram ,  97.350250244140625000, VMPEAK ,    8236 , time , 18783 
compiler , jerry-512k , testcase , spectral-norm , package , 741.893035888671875000, core , 468.792694091796875000, gpu ,  0 , dram ,  98.598342895507812500, VMPEAK ,    8236 , time , 18847 
compiler , jerry-512k , testcase , spectral-norm , package , 740.216522216796875000, core , 468.510070800781250000, gpu ,  0 , dram ,  97.728866577148437500, VMPEAK ,    8236 , time , 18737 
compiler , jerry-512k , testcase , spectral-norm , package , 749.637863159179687500, core , 474.942367553710937500, gpu ,  0 , dram ,  99.560165405273437500, VMPEAK ,    8236 , time , 18907 
compiler , jerry-512k , testcase , spectral-norm , package , 747.308013916015625000, core , 474.096466064453125000, gpu ,  0 , dram ,  98.433975219726562500, VMPEAK ,    8236 , time , 18797 
compiler , jerry-512k , testcase , spectral-norm , package , 748.016952514648437500, core , 474.868255615234375000, gpu ,  0 , dram ,  99.824768066406250000, VMPEAK ,    8236 , time , 18774 
compiler , jerry-512k , testcase , spectral-norm , package , 749.985763549804687500, core , 476.884567260742187500, gpu ,  0 , dram ,  100.049118041992187500, VMPEAK ,    8236 , time , 18788 
