Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , spectral-norm , package , 49.121780395507812500, core , 30.939651489257812500, gpu ,  0 , dram ,  8.544006347656250000, VMPEAK ,    8236 , time , 1249 
compiler , js , testcase , spectral-norm , package , 49.580703735351562500, core , 31.311309814453125000, gpu ,  0 , dram ,  8.687988281250000000, VMPEAK ,    8236 , time , 1253 
compiler , js , testcase , spectral-norm , package , 48.840103149414062500, core , 30.861923217773437500, gpu ,  0 , dram ,  8.468627929687500000, VMPEAK ,    8236 , time , 1233 
compiler , js , testcase , spectral-norm , package , 48.821746826171875000, core , 30.863769531250000000, gpu ,  0 , dram ,  8.452758789062500000, VMPEAK ,    8236 , time , 1235 
compiler , js , testcase , spectral-norm , package , 50.513778686523437500, core , 31.890777587890625000, gpu ,  0 , dram ,  8.670837402343750000, VMPEAK ,    8236 , time , 1278 
compiler , js , testcase , spectral-norm , package , 49.447570800781250000, core , 31.252044677734375000, gpu ,  0 , dram ,  8.630752563476562500, VMPEAK ,    8236 , time , 1247 
compiler , js , testcase , spectral-norm , package , 49.909698486328125000, core , 31.553955078125000000, gpu ,  0 , dram ,  8.682968139648437500, VMPEAK ,    8236 , time , 1257 
compiler , js , testcase , spectral-norm , package , 49.220321655273437500, core , 31.112472534179687500, gpu ,  0 , dram ,  8.514312744140625000, VMPEAK ,    8236 , time , 1246 
compiler , js , testcase , spectral-norm , package , 48.692687988281250000, core , 30.785919189453125000, gpu ,  0 , dram ,  8.432281494140625000, VMPEAK ,    8236 , time , 1229 
compiler , js , testcase , spectral-norm , package , 49.731811523437500000, core , 31.426193237304687500, gpu ,  0 , dram ,  8.702728271484375000, VMPEAK ,    8236 , time , 1252 
