Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , spectral-norm , package , 180.166259765625000000, core , 109.833053588867187500, gpu ,  0 , dram ,  37.071594238281250000, VMPEAK ,    8236 , time , 4807 
compiler , rhino-jit , testcase , spectral-norm , package , 179.206954956054687500, core , 112.652267456054687500, gpu ,  0 , dram ,  -65500.168273925781250000, VMPEAK ,    8236 , time , 4545 
compiler , rhino-jit , testcase , spectral-norm , package , 180.017166137695312500, core , 113.309188842773437500, gpu ,  0 , dram ,  35.910369873046875000, VMPEAK ,    8236 , time , 4552 
compiler , rhino-jit , testcase , spectral-norm , package , 181.120651245117187500, core , 114.196929931640625000, gpu ,  0 , dram ,  35.909912109375000000, VMPEAK ,    8236 , time , 4562 
compiler , rhino-jit , testcase , spectral-norm , package , 177.746337890625000000, core , 112.091247558593750000, gpu ,  0 , dram ,  35.129211425781250000, VMPEAK ,    8236 , time , 4473 
compiler , rhino-jit , testcase , spectral-norm , package , 177.235671997070312500, core , 111.722213745117187500, gpu ,  0 , dram ,  35.088516235351562500, VMPEAK ,    8236 , time , 4461 
compiler , rhino-jit , testcase , spectral-norm , package , 180.348037719726562500, core , 113.871124267578125000, gpu ,  0 , dram ,  35.692337036132812500, VMPEAK ,    8236 , time , 4522 
compiler , rhino-jit , testcase , spectral-norm , package , 180.582229614257812500, core , 113.678115844726562500, gpu ,  0 , dram ,  35.760742187500000000, VMPEAK ,    8236 , time , 4565 
compiler , rhino-jit , testcase , spectral-norm , package , 184.498962402343750000, core , 116.224365234375000000, gpu ,  0 , dram ,  36.550750732421875000, VMPEAK ,    8236 , time , 4654 
compiler , rhino-jit , testcase , spectral-norm , package , 179.705505371093750000, core , 113.168411254882812500, gpu ,  0 , dram ,  35.403793334960937500, VMPEAK ,    8236 , time , 4538 
