Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , spectral-norm , package , 7.588195800781250000, core , 5.597305297851562500, gpu ,  0 , dram ,  1.540481567382812500, VMPEAK ,    8292 , time , 175 
compiler , js-24 , testcase , spectral-norm , package , 7.502166748046875000, core , 5.612060546875000000, gpu ,  0 , dram ,  1.468872070312500000, VMPEAK ,    8292 , time , 166 
compiler , js-24 , testcase , spectral-norm , package , 7.459259033203125000, core , 5.581649780273437500, gpu ,  0 , dram ,  1.451248168945312500, VMPEAK ,    8292 , time , 166 
compiler , js-24 , testcase , spectral-norm , package , 7.467407226562500000, core , 5.588439941406250000, gpu ,  0 , dram ,  1.460113525390625000, VMPEAK ,    8292 , time , 165 
compiler , js-24 , testcase , spectral-norm , package , 7.468429565429687500, core , 5.588912963867187500, gpu ,  0 , dram ,  1.460128784179687500, VMPEAK ,    8292 , time , 165 
compiler , js-24 , testcase , spectral-norm , package , 7.472213745117187500, core , 5.591705322265625000, gpu ,  0 , dram ,  1.442398071289062500, VMPEAK ,    8292 , time , 166 
compiler , js-24 , testcase , spectral-norm , package , 7.515853881835937500, core , 5.623886108398437500, gpu ,  0 , dram ,  1.442245483398437500, VMPEAK ,    8292 , time , 166 
compiler , js-24 , testcase , spectral-norm , package , 7.472198486328125000, core , 5.591415405273437500, gpu ,  0 , dram ,  1.459899902343750000, VMPEAK ,    8292 , time , 166 
compiler , js-24 , testcase , spectral-norm , package , 7.516433715820312500, core , 5.623336791992187500, gpu ,  0 , dram ,  1.459899902343750000, VMPEAK ,    8292 , time , 167 
compiler , js-24 , testcase , spectral-norm , package , 7.520324707031250000, core , 5.628387451171875000, gpu ,  0 , dram ,  1.451354980468750000, VMPEAK ,    8292 , time , 165 
