Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , 3d-morph , package , 200.602096557617187500, core , 151.768722534179687500, gpu ,  0 , dram ,  37.571166992187500000, VMPEAK ,    8292 , time , 4294 
compiler , js-24 , testcase , 3d-morph , package , 236.508407592773437500, core , 178.785552978515625000, gpu ,  0 , dram ,  44.375427246093750000, VMPEAK ,    8292 , time , 5073 
compiler , js-24 , testcase , 3d-morph , package , 228.317672729492187500, core , 172.809036254882812500, gpu ,  0 , dram ,  42.686370849609375000, VMPEAK ,    8292 , time , 4878 
compiler , js-24 , testcase , 3d-morph , package , 204.037155151367187500, core , 154.538574218750000000, gpu ,  0 , dram ,  38.027191162109375000, VMPEAK ,    8292 , time , 4346 
compiler , js-24 , testcase , 3d-morph , package , 198.655960083007812500, core , 150.440612792968750000, gpu ,  0 , dram ,  36.917327880859375000, VMPEAK ,    8292 , time , 4233 
compiler , js-24 , testcase , 3d-morph , package , 203.139831542968750000, core , 153.854782104492187500, gpu ,  0 , dram ,  37.917175292968750000, VMPEAK ,    8292 , time , 4327 
compiler , js-24 , testcase , 3d-morph , package , 228.189376831054687500, core , 172.572158813476562500, gpu ,  0 , dram ,  42.778350830078125000, VMPEAK ,    8292 , time , 4882 
compiler , js-24 , testcase , 3d-morph , package , 201.428283691406250000, core , 152.604873657226562500, gpu ,  0 , dram ,  37.320220947265625000, VMPEAK ,    8292 , time , 4285 
compiler , js-24 , testcase , 3d-morph , package , 235.336227416992187500, core , 177.985977172851562500, gpu ,  0 , dram ,  43.934707641601562500, VMPEAK ,    8292 , time , 5029 
compiler , js-24 , testcase , 3d-morph , package , 229.744064331054687500, core , 173.951202392578125000, gpu ,  0 , dram ,  42.878738403320312500, VMPEAK ,    8292 , time , 4893 
