Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-512k , testcase , array-find , package , 3.372436523437500000, core , 2.496810913085937500, gpu ,  0 , dram ,  0.681304931640625000, VMPEAK ,    8292 , time , 76 
compiler , jerry-512k , testcase , array-find , package , 3.404159545898437500, core , 2.583923339843750000, gpu ,  0 , dram ,  0.628295898437500000, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.352722167968750000, core , 2.543563842773437500, gpu ,  0 , dram ,  0.610549926757812500, VMPEAK ,    8292 , time , 71 
compiler , jerry-512k , testcase , array-find , package , 3.444686889648437500, core , 2.612319946289062500, gpu ,  0 , dram ,  0.654663085937500000, VMPEAK ,    8292 , time , 73 
compiler , jerry-512k , testcase , array-find , package , 3.405364990234375000, core , 2.584655761718750000, gpu ,  0 , dram ,  0.628189086914062500, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.406066894531250000, core , 2.585571289062500000, gpu ,  0 , dram ,  0.637100219726562500, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.409484863281250000, core , 2.588317871093750000, gpu ,  0 , dram ,  0.628280639648437500, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.408065795898437500, core , 2.586730957031250000, gpu ,  0 , dram ,  0.637069702148437500, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.391433715820312500, core , 2.570037841796875000, gpu ,  0 , dram ,  0.637100219726562500, VMPEAK ,    8292 , time , 72 
compiler , jerry-512k , testcase , array-find , package , 3.407165527343750000, core , 2.585861206054687500, gpu ,  0 , dram ,  0.628295898437500000, VMPEAK ,    8292 , time , 72 
