Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , node , testcase , array-find , package , 3.155014038085937500, core , 2.325302124023437500, gpu ,  0 , dram ,  0.637481689453125000, VMPEAK ,    8292 , time , 73 
compiler , node , testcase , array-find , package , 3.137969970703125000, core , 2.364318847656250000, gpu ,  0 , dram ,  0.602233886718750000, VMPEAK ,    8292 , time , 69 
compiler , node , testcase , array-find , package , 3.143951416015625000, core , 2.370010375976562500, gpu ,  0 , dram ,  0.602249145507812500, VMPEAK ,    8292 , time , 67 
compiler , node , testcase , array-find , package , 3.139572143554687500, core , 2.365585327148437500, gpu ,  0 , dram ,  0.601776123046875000, VMPEAK ,    8292 , time , 67 
compiler , node , testcase , array-find , package , 3.140808105468750000, core , 2.366470336914062500, gpu ,  0 , dram ,  0.593322753906250000, VMPEAK ,    8292 , time , 68 
compiler , node , testcase , array-find , package , 3.140029907226562500, core , 2.365478515625000000, gpu ,  0 , dram ,  0.592803955078125000, VMPEAK ,    8292 , time , 68 
compiler , node , testcase , array-find , package , 3.141372680664062500, core , 2.366683959960937500, gpu ,  0 , dram ,  0.592407226562500000, VMPEAK ,    8292 , time , 68 
compiler , node , testcase , array-find , package , 3.141418457031250000, core , 2.367126464843750000, gpu ,  0 , dram ,  0.602691650390625000, VMPEAK ,    8292 , time , 67 
compiler , node , testcase , array-find , package , 3.143920898437500000, core , 2.369125366210937500, gpu ,  0 , dram ,  0.602218627929687500, VMPEAK ,    8292 , time , 68 
compiler , node , testcase , array-find , package , 3.143035888671875000, core , 2.368423461914062500, gpu ,  0 , dram ,  0.593383789062500000, VMPEAK ,    8292 , time , 67 
