Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , espruino , testcase , array-forEach , package , 3803.063964843750000000, core , 2884.247985839843750000, gpu ,  0 , dram ,  704.961502075195312500, VMPEAK ,    8292 , time , 80606 
compiler , espruino , testcase , array-forEach , package , 3815.081466674804687500, core , 2896.726211547851562500, gpu ,  0 , dram ,  702.511428833007812500, VMPEAK ,    8292 , time , 80413 
compiler , espruino , testcase , array-forEach , package , 3832.597549438476562500, core , 2911.800506591796875000, gpu ,  0 , dram ,  703.697448730468750000, VMPEAK ,    8292 , time , 80606 
compiler , espruino , testcase , array-forEach , package , 3835.920928955078125000, core , 2914.466125488281250000, gpu ,  0 , dram ,  705.060577392578125000, VMPEAK ,    8292 , time , 80656 
compiler , espruino , testcase , array-forEach , package , 3848.246154785156250000, core , 2923.914764404296875000, gpu ,  0 , dram ,  707.177658081054687500, VMPEAK ,    8292 , time , 80906 
compiler , espruino , testcase , array-forEach , package , 3823.567153930664062500, core , 2905.927947998046875000, gpu ,  0 , dram ,  701.766143798828125000, VMPEAK ,    8292 , time , 80306 
compiler , espruino , testcase , array-forEach , package , 3829.229156494140625000, core , -62626.227508544921875000, gpu ,  0 , dram ,  703.124374389648437500, VMPEAK ,    8292 , time , 80408 
compiler , espruino , testcase , array-forEach , package , 3834.484741210937500000, core , 2913.610046386718750000, gpu ,  0 , dram ,  703.618331909179687500, VMPEAK ,    8292 , time , 80506 
compiler , espruino , testcase , array-forEach , package , -61709.910156250000000000, core , 2906.667510986328125000, gpu ,  0 , dram ,  702.940460205078125000, VMPEAK ,    8292 , time , 80355 
compiler , espruino , testcase , array-forEach , package , 3835.487716674804687500, core , 2912.992614746093750000, gpu ,  0 , dram ,  705.140228271484375000, VMPEAK ,    8292 , time , 80617 
