Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-malloc , testcase , array-forloop , package , 35.328109741210937500, core , 26.756484985351562500, gpu ,  0 , dram ,  6.594070434570312500, VMPEAK ,    8292 , time , 756 
compiler , hermes-malloc , testcase , array-forloop , package , 35.223236083984375000, core , 26.741180419921875000, gpu ,  0 , dram ,  6.512634277343750000, VMPEAK ,    8292 , time , 745 
compiler , hermes-malloc , testcase , array-forloop , package , 35.205978393554687500, core , 26.729660034179687500, gpu ,  0 , dram ,  6.521621704101562500, VMPEAK ,    8292 , time , 745 
compiler , hermes-malloc , testcase , array-forloop , package , 35.107162475585937500, core , 26.654006958007812500, gpu ,  0 , dram ,  6.477172851562500000, VMPEAK ,    8292 , time , 744 
compiler , hermes-malloc , testcase , array-forloop , package , 35.255126953125000000, core , 26.770355224609375000, gpu ,  0 , dram ,  6.530548095703125000, VMPEAK ,    8292 , time , 746 
compiler , hermes-malloc , testcase , array-forloop , package , 35.170669555664062500, core , 26.705825805664062500, gpu ,  0 , dram ,  6.512908935546875000, VMPEAK ,    8292 , time , 744 
compiler , hermes-malloc , testcase , array-forloop , package , 35.093826293945312500, core , 26.650817871093750000, gpu ,  0 , dram ,  6.494857788085937500, VMPEAK ,    8292 , time , 743 
compiler , hermes-malloc , testcase , array-forloop , package , 35.623657226562500000, core , 27.043075561523437500, gpu ,  0 , dram ,  6.619003295898437500, VMPEAK ,    8292 , time , 755 
compiler , hermes-malloc , testcase , array-forloop , package , 35.083694458007812500, core , 26.641815185546875000, gpu ,  0 , dram ,  6.495040893554687500, VMPEAK ,    8292 , time , 742 
compiler , hermes-malloc , testcase , array-forloop , package , 35.135818481445312500, core , 26.681243896484375000, gpu ,  0 , dram ,  6.477584838867187500, VMPEAK ,    8292 , time , 743 
