Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , duk , testcase , array-some , package , 11.100311279296875000, core , 8.371231079101562500, gpu ,  0 , dram ,  2.106033325195312500, VMPEAK ,    8292 , time , 242 
compiler , duk , testcase , array-some , package , 11.657043457031250000, core , 8.857818603515625000, gpu ,  0 , dram ,  2.150482177734375000, VMPEAK ,    8292 , time , 246 
compiler , duk , testcase , array-some , package , 11.053588867187500000, core , 8.401214599609375000, gpu ,  0 , dram ,  2.035430908203125000, VMPEAK ,    8292 , time , 233 
compiler , duk , testcase , array-some , package , 10.973922729492187500, core , 8.331924438476562500, gpu ,  0 , dram ,  2.044067382812500000, VMPEAK ,    8292 , time , 232 
compiler , duk , testcase , array-some , package , 10.799301147460937500, core , 8.201217651367187500, gpu ,  0 , dram ,  1.991180419921875000, VMPEAK ,    8292 , time , 228 
compiler , duk , testcase , array-some , package , 10.753936767578125000, core , 8.166427612304687500, gpu ,  0 , dram ,  1.964447021484375000, VMPEAK ,    8292 , time , 228 
compiler , duk , testcase , array-some , package , 10.915878295898437500, core , 8.282135009765625000, gpu ,  0 , dram ,  2.035217285156250000, VMPEAK ,    8292 , time , 231 
compiler , duk , testcase , array-some , package , 11.113052368164062500, core , 8.435012817382812500, gpu ,  0 , dram ,  2.070632934570312500, VMPEAK ,    8292 , time , 235 
compiler , duk , testcase , array-some , package , 11.065536499023437500, core , 8.398757934570312500, gpu ,  0 , dram ,  2.044265747070312500, VMPEAK ,    8292 , time , 233 
compiler , duk , testcase , array-some , package , 10.805999755859375000, core , 8.206237792968750000, gpu ,  0 , dram ,  1.991149902343750000, VMPEAK ,    8292 , time , 229 
