Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-malloc , testcase , binary-trees , package , 810.172485351562500000, core , 614.502792358398437500, gpu ,  0 , dram ,  150.463806152343750000, VMPEAK ,    8292 , time , 17193 
compiler , hermes-malloc , testcase , binary-trees , package , 815.256896972656250000, core , 618.835281372070312500, gpu ,  0 , dram ,  150.834655761718750000, VMPEAK ,    8292 , time , 17232 
compiler , hermes-malloc , testcase , binary-trees , package , 816.902893066406250000, core , 620.282608032226562500, gpu ,  0 , dram ,  150.726303100585937500, VMPEAK ,    8292 , time , 17230 
compiler , hermes-malloc , testcase , binary-trees , package , 816.179122924804687500, core , 619.816055297851562500, gpu ,  0 , dram ,  150.645812988281250000, VMPEAK ,    8292 , time , 17201 
compiler , hermes-malloc , testcase , binary-trees , package , 818.246795654296875000, core , 621.521835327148437500, gpu ,  0 , dram ,  150.764541625976562500, VMPEAK ,    8292 , time , 17218 
compiler , hermes-malloc , testcase , binary-trees , package , 819.607666015625000000, core , 622.606323242187500000, gpu ,  0 , dram ,  150.791870117187500000, VMPEAK ,    8292 , time , 17237 
compiler , hermes-malloc , testcase , binary-trees , package , 820.328567504882812500, core , 623.252563476562500000, gpu ,  0 , dram ,  150.791519165039062500, VMPEAK ,    8292 , time , 17239 
compiler , hermes-malloc , testcase , binary-trees , package , 826.699234008789062500, core , 628.264785766601562500, gpu ,  0 , dram ,  151.745758056640625000, VMPEAK ,    8292 , time , 17351 
compiler , hermes-malloc , testcase , binary-trees , package , 826.922882080078125000, core , 628.456512451171875000, gpu ,  0 , dram ,  151.665893554687500000, VMPEAK ,    8292 , time , 17345 
compiler , hermes-malloc , testcase , binary-trees , package , 829.439575195312500000, core , 630.223480224609375000, gpu ,  0 , dram ,  152.295410156250000000, VMPEAK ,    8292 , time , 17407 
