Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-512k , testcase , binary-trees , package , 34.660980224609375000, core , 26.150344848632812500, gpu ,  0 , dram ,  6.503814697265625000, VMPEAK ,    8292 , time , 747 
compiler , jerry-512k , testcase , binary-trees , package , 34.671951293945312500, core , 26.225463867187500000, gpu ,  0 , dram ,  6.512359619140625000, VMPEAK ,    8292 , time , 741 
compiler , jerry-512k , testcase , binary-trees , package , 34.708724975585937500, core , 26.261154174804687500, gpu ,  0 , dram ,  6.504104614257812500, VMPEAK ,    8292 , time , 739 
compiler , jerry-512k , testcase , binary-trees , package , 34.739608764648437500, core , 26.290390014648437500, gpu ,  0 , dram ,  6.485687255859375000, VMPEAK ,    8292 , time , 740 
compiler , jerry-512k , testcase , binary-trees , package , 34.800903320312500000, core , 26.340332031250000000, gpu ,  0 , dram ,  6.494873046875000000, VMPEAK ,    8292 , time , 742 
compiler , jerry-512k , testcase , binary-trees , package , 34.740997314453125000, core , 26.292831420898437500, gpu ,  0 , dram ,  6.468505859375000000, VMPEAK ,    8292 , time , 740 
compiler , jerry-512k , testcase , binary-trees , package , 34.740982055664062500, core , 26.290603637695312500, gpu ,  0 , dram ,  6.494583129882812500, VMPEAK ,    8292 , time , 740 
compiler , jerry-512k , testcase , binary-trees , package , 34.777740478515625000, core , 26.316726684570312500, gpu ,  0 , dram ,  6.477157592773437500, VMPEAK ,    8292 , time , 742 
compiler , jerry-512k , testcase , binary-trees , package , 35.005325317382812500, core , 26.484680175781250000, gpu ,  0 , dram ,  6.530288696289062500, VMPEAK ,    8292 , time , 747 
compiler , jerry-512k , testcase , binary-trees , package , 34.762054443359375000, core , 26.308502197265625000, gpu ,  0 , dram ,  6.459747314453125000, VMPEAK ,    8292 , time , 741 
