Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , binary-trees , package , 9.399536132812500000, core , 7.023696899414062500, gpu ,  0 , dram ,  1.840820312500000000, VMPEAK ,    8292 , time , 209 
compiler , jsc , testcase , binary-trees , package , 8.795852661132812500, core , 6.635314941406250000, gpu ,  0 , dram ,  1.655822753906250000, VMPEAK ,    8292 , time , 189 
compiler , jsc , testcase , binary-trees , package , 8.801437377929687500, core , 6.639892578125000000, gpu ,  0 , dram ,  1.664184570312500000, VMPEAK ,    8292 , time , 190 
compiler , jsc , testcase , binary-trees , package , 8.757110595703125000, core , 6.607009887695312500, gpu ,  0 , dram ,  1.638015747070312500, VMPEAK ,    8292 , time , 190 
compiler , jsc , testcase , binary-trees , package , 8.754394531250000000, core , 6.604431152343750000, gpu ,  0 , dram ,  1.647384643554687500, VMPEAK ,    8292 , time , 187 
compiler , jsc , testcase , binary-trees , package , 9.130813598632812500, core , 6.889328002929687500, gpu ,  0 , dram ,  1.717224121093750000, VMPEAK ,    8292 , time , 197 
compiler , jsc , testcase , binary-trees , package , 8.715240478515625000, core , 6.575317382812500000, gpu ,  0 , dram ,  1.655746459960937500, VMPEAK ,    8292 , time , 188 
compiler , jsc , testcase , binary-trees , package , 8.813308715820312500, core , 6.650329589843750000, gpu ,  0 , dram ,  1.647216796875000000, VMPEAK ,    8292 , time , 188 
compiler , jsc , testcase , binary-trees , package , 8.851257324218750000, core , 6.676986694335937500, gpu ,  0 , dram ,  1.664642333984375000, VMPEAK ,    8292 , time , 191 
compiler , jsc , testcase , binary-trees , package , 8.808242797851562500, core , 6.644729614257812500, gpu ,  0 , dram ,  1.655838012695312500, VMPEAK ,    8292 , time , 188 
