Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , fannkuch-redux , package , 1094.025711059570312500, core , 828.606552124023437500, gpu ,  0 , dram ,  203.981933593750000000, VMPEAK ,    8292 , time , 23329 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1098.043670654296875000, core , 832.375366210937500000, gpu ,  0 , dram ,  204.115188598632812500, VMPEAK ,    8292 , time , 23313 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1102.928771972656250000, core , 836.413833618164062500, gpu ,  0 , dram ,  204.472763061523437500, VMPEAK ,    8292 , time , 23358 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1102.804718017578125000, core , 836.679244995117187500, gpu ,  0 , dram ,  203.957077026367187500, VMPEAK ,    8292 , time , 23322 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1103.965057373046875000, core , 837.840896606445312500, gpu ,  0 , dram ,  203.947235107421875000, VMPEAK ,    8292 , time , 23309 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1105.371124267578125000, core , 839.101638793945312500, gpu ,  0 , dram ,  204.210952758789062500, VMPEAK ,    8292 , time , 23323 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1104.574371337890625000, core , 838.320541381835937500, gpu ,  0 , dram ,  203.829315185546875000, VMPEAK ,    8292 , time , 23320 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1105.492721557617187500, core , 839.371047973632812500, gpu ,  0 , dram ,  203.908447265625000000, VMPEAK ,    8292 , time , 23302 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1107.336746215820312500, core , 840.812225341796875000, gpu ,  0 , dram ,  204.076232910156250000, VMPEAK ,    8292 , time , 23331 
compiler , hermes-gengc , testcase , fannkuch-redux , package , 1107.135711669921875000, core , 840.803253173828125000, gpu ,  0 , dram ,  203.936035156250000000, VMPEAK ,    8292 , time , 23316 
