Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , fannkuch-redux , package , 15.639663696289062500, core , 11.766738891601562500, gpu ,  0 , dram ,  2.990905761718750000, VMPEAK ,    8292 , time , 339 
compiler , js , testcase , fannkuch-redux , package , 15.027877807617187500, core , 11.383255004882812500, gpu ,  0 , dram ,  2.804718017578125000, VMPEAK ,    8292 , time , 320 
compiler , js , testcase , fannkuch-redux , package , 15.041992187500000000, core , 11.397003173828125000, gpu ,  0 , dram ,  2.779190063476562500, VMPEAK ,    8292 , time , 320 
compiler , js , testcase , fannkuch-redux , package , 15.986297607421875000, core , 12.112930297851562500, gpu ,  0 , dram ,  2.975799560546875000, VMPEAK ,    8292 , time , 339 
compiler , js , testcase , fannkuch-redux , package , 15.201293945312500000, core , 11.556549072265625000, gpu ,  0 , dram ,  2.816680908203125000, VMPEAK ,    8292 , time , 323 
compiler , js , testcase , fannkuch-redux , package , 16.043884277343750000, core , 12.158325195312500000, gpu ,  0 , dram ,  2.991622924804687500, VMPEAK ,    8292 , time , 342 
compiler , js , testcase , fannkuch-redux , package , 16.139465332031250000, core , 12.231399536132812500, gpu ,  0 , dram ,  2.991943359375000000, VMPEAK ,    8292 , time , 342 
compiler , js , testcase , fannkuch-redux , package , 15.258850097656250000, core , 11.567993164062500000, gpu ,  0 , dram ,  2.831329345703125000, VMPEAK ,    8292 , time , 323 
compiler , js , testcase , fannkuch-redux , package , 15.053817749023437500, core , 11.408096313476562500, gpu ,  0 , dram ,  2.780044555664062500, VMPEAK ,    8292 , time , 321 
compiler , js , testcase , fannkuch-redux , package , 15.243835449218750000, core , 11.552459716796875000, gpu ,  0 , dram ,  2.852066040039062500, VMPEAK ,    8292 , time , 323 
