Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , iter-double-linked-list , package , 168.073959350585937500, core , 126.581375122070312500, gpu ,  0 , dram ,  32.962677001953125000, VMPEAK ,    8292 , time , 3592 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 178.102737426757812500, core , 134.127593994140625000, gpu ,  0 , dram ,  34.869659423828125000, VMPEAK ,    8292 , time , 3810 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 167.424087524414062500, core , 126.096801757812500000, gpu ,  0 , dram ,  32.788864135742187500, VMPEAK ,    8292 , time , 3578 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 169.148162841796875000, core , 127.421661376953125000, gpu ,  0 , dram ,  33.178924560546875000, VMPEAK ,    8292 , time , 3612 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 168.822052001953125000, core , 127.176193237304687500, gpu ,  0 , dram ,  33.236541748046875000, VMPEAK ,    8292 , time , 3605 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 169.770889282226562500, core , 127.848327636718750000, gpu ,  0 , dram ,  33.047302246093750000, VMPEAK ,    8292 , time , 3629 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 166.195877075195312500, core , 125.114578247070312500, gpu ,  0 , dram ,  32.494888305664062500, VMPEAK ,    8292 , time , 3554 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 169.718444824218750000, core , 127.923233032226562500, gpu ,  0 , dram ,  33.095336914062500000, VMPEAK ,    8292 , time , 3618 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 170.004852294921875000, core , 128.132385253906250000, gpu ,  0 , dram ,  33.314910888671875000, VMPEAK ,    8292 , time , 3623 
compiler , rhino-jit , testcase , iter-double-linked-list , package , 169.459609985351562500, core , 127.711441040039062500, gpu ,  0 , dram ,  33.116729736328125000, VMPEAK ,    8292 , time , 3611 
