Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , linked-list , package , 113.622375488281250000, core , 86.001510620117187500, gpu ,  0 , dram ,  21.309539794921875000, VMPEAK ,    8292 , time , 2435 
compiler , hermes-gengc , testcase , linked-list , package , 21.853057861328125000, core , 16.538497924804687500, gpu ,  0 , dram ,  4.097213745117187500, VMPEAK ,    8292 , time , 468 
compiler , hermes-gengc , testcase , linked-list , package , 1.167419433593750000, core , 0.883041381835937500, gpu ,  0 , dram ,  0.221252441406250000, VMPEAK ,    8292 , time , 25 
compiler , hermes-gengc , testcase , linked-list , package , 1.731521606445312500, core , 1.310455322265625000, gpu ,  0 , dram ,  0.327453613281250000, VMPEAK ,    8292 , time , 36 
compiler , hermes-gengc , testcase , linked-list , package , 2.012420654296875000, core , 1.522933959960937500, gpu ,  0 , dram ,  0.371612548828125000, VMPEAK ,    8292 , time , 43 
compiler , hermes-gengc , testcase , linked-list , package , 1.352172851562500000, core , 1.021957397460937500, gpu ,  0 , dram ,  0.256500244140625000, VMPEAK ,    8292 , time , 28 
compiler , hermes-gengc , testcase , linked-list , package , 1.399658203125000000, core , 1.058090209960937500, gpu ,  0 , dram ,  0.265457153320312500, VMPEAK ,    8292 , time , 30 
compiler , hermes-gengc , testcase , linked-list , package , 1.682205200195312500, core , 1.272628784179687500, gpu ,  0 , dram ,  0.309738159179687500, VMPEAK ,    8292 , time , 35 
compiler , hermes-gengc , testcase , linked-list , package , 1.118728637695312500, core , 0.845642089843750000, gpu ,  0 , dram ,  0.212402343750000000, VMPEAK ,    8292 , time , 24 
compiler , hermes-gengc , testcase , linked-list , package , 1.120910644531250000, core , 0.847839355468750000, gpu ,  0 , dram ,  0.212402343750000000, VMPEAK ,    8292 , time , 23 
