Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , n-body , package , 7.607986450195312500, core , 5.662536621093750000, gpu ,  0 , dram ,  1.508026123046875000, VMPEAK ,    8292 , time , 171 
compiler , jsc , testcase , n-body , package , 7.459548950195312500, core , 5.603897094726562500, gpu ,  0 , dram ,  1.407241821289062500, VMPEAK ,    8292 , time , 162 
compiler , jsc , testcase , n-body , package , 7.370971679687500000, core , 5.538589477539062500, gpu ,  0 , dram ,  1.424713134765625000, VMPEAK ,    8292 , time , 161 
compiler , jsc , testcase , n-body , package , 7.360336303710937500, core , 5.528213500976562500, gpu ,  0 , dram ,  1.407043457031250000, VMPEAK ,    8292 , time , 162 
compiler , jsc , testcase , n-body , package , 7.602172851562500000, core , 5.711639404296875000, gpu ,  0 , dram ,  1.424423217773437500, VMPEAK ,    8292 , time , 166 
compiler , jsc , testcase , n-body , package , 7.321792602539062500, core , 5.500518798828125000, gpu ,  0 , dram ,  1.398178100585937500, VMPEAK ,    8292 , time , 160 
compiler , jsc , testcase , n-body , package , 7.322189331054687500, core , 5.500244140625000000, gpu ,  0 , dram ,  1.380416870117187500, VMPEAK ,    8292 , time , 160 
compiler , jsc , testcase , n-body , package , 7.325469970703125000, core , 5.504379272460937500, gpu ,  0 , dram ,  1.415985107421875000, VMPEAK ,    8292 , time , 160 
compiler , jsc , testcase , n-body , package , 7.410995483398437500, core , 5.567230224609375000, gpu ,  0 , dram ,  1.415817260742187500, VMPEAK ,    8292 , time , 162 
compiler , jsc , testcase , n-body , package , 7.416397094726562500, core , 5.572677612304687500, gpu ,  0 , dram ,  1.424743652343750000, VMPEAK ,    8292 , time , 162 
