Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , ray-tracing , package , 28.056076049804687500, core , 21.210266113281250000, gpu ,  0 , dram ,  5.301605224609375000, VMPEAK ,    8292 , time , 599 
compiler , jsc , testcase , ray-tracing , package , 29.015609741210937500, core , 22.008865356445312500, gpu ,  0 , dram ,  5.408493041992187500, VMPEAK ,    8292 , time , 613 
compiler , jsc , testcase , ray-tracing , package , 28.686126708984375000, core , 21.759124755859375000, gpu ,  0 , dram ,  5.374893188476562500, VMPEAK ,    8292 , time , 605 
compiler , jsc , testcase , ray-tracing , package , 31.359008789062500000, core , 23.782028198242187500, gpu ,  0 , dram ,  5.868515014648437500, VMPEAK ,    8292 , time , 663 
compiler , jsc , testcase , ray-tracing , package , 30.207717895507812500, core , 22.905685424804687500, gpu ,  0 , dram ,  5.663162231445312500, VMPEAK ,    8292 , time , 640 
compiler , jsc , testcase , ray-tracing , package , 30.530960083007812500, core , 23.159851074218750000, gpu ,  0 , dram ,  5.708099365234375000, VMPEAK ,    8292 , time , 644 
compiler , jsc , testcase , ray-tracing , package , 28.026641845703125000, core , 21.270751953125000000, gpu ,  0 , dram ,  5.195678710937500000, VMPEAK ,    8292 , time , 591 
compiler , jsc , testcase , ray-tracing , package , 29.311035156250000000, core , 22.236282348632812500, gpu ,  0 , dram ,  5.427062988281250000, VMPEAK ,    8292 , time , 618 
compiler , jsc , testcase , ray-tracing , package , 29.221710205078125000, core , 22.168838500976562500, gpu ,  0 , dram ,  5.461898803710937500, VMPEAK ,    8292 , time , 617 
compiler , jsc , testcase , ray-tracing , package , 27.982910156250000000, core , 21.235916137695312500, gpu ,  0 , dram ,  5.205780029296875000, VMPEAK ,    8292 , time , 591 
