Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , strconcat , package , 114.420516967773437500, core , 85.931823730468750000, gpu ,  0 , dram ,  22.783569335937500000, VMPEAK ,    8292 , time , 2462 
compiler , js-52 , testcase , strconcat , package , 115.096313476562500000, core , 86.513778686523437500, gpu ,  0 , dram ,  22.965713500976562500, VMPEAK ,    8292 , time , 2470 
compiler , js-52 , testcase , strconcat , package , 117.028839111328125000, core , 87.969802856445312500, gpu ,  0 , dram ,  23.369857788085937500, VMPEAK ,    8292 , time , 2512 
compiler , js-52 , testcase , strconcat , package , 117.116516113281250000, core , 88.044479370117187500, gpu ,  0 , dram ,  23.434158325195312500, VMPEAK ,    8292 , time , 2513 
compiler , js-52 , testcase , strconcat , package , 117.215469360351562500, core , 88.143920898437500000, gpu ,  0 , dram ,  23.388290405273437500, VMPEAK ,    8292 , time , 2513 
compiler , js-52 , testcase , strconcat , package , 117.027420043945312500, core , 88.023696899414062500, gpu ,  0 , dram ,  23.396347045898437500, VMPEAK ,    8292 , time , 2507 
compiler , js-52 , testcase , strconcat , package , 116.075729370117187500, core , 87.312820434570312500, gpu ,  0 , dram ,  23.168777465820312500, VMPEAK ,    8292 , time , 2487 
compiler , js-52 , testcase , strconcat , package , 115.815567016601562500, core , 87.120529174804687500, gpu ,  0 , dram ,  23.054061889648437500, VMPEAK ,    8292 , time , 2479 
compiler , js-52 , testcase , strconcat , package , 115.247009277343750000, core , 86.696121215820312500, gpu ,  0 , dram ,  22.930725097656250000, VMPEAK ,    8292 , time , 2468 
compiler , js-52 , testcase , strconcat , package , 117.375198364257812500, core , 88.295013427734375000, gpu ,  0 , dram ,  23.314285278320312500, VMPEAK ,    8292 , time , 2512 
