Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , array-findIndex , package , 0.365036010742187500, core , 0.162399291992187500, gpu ,  0 , dram ,  0.081329345703125000, VMPEAK ,    8236 , time , 14 
compiler , js-24 , testcase , array-findIndex , package , 0.352249145507812500, core , 0.221893310546875000, gpu ,  0 , dram ,  0.050338745117187500, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.313583374023437500, core , 0.197814941406250000, gpu ,  0 , dram ,  0.046066284179687500, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.313659667968750000, core , 0.197677612304687500, gpu ,  0 , dram ,  0.043670654296875000, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.352828979492187500, core , 0.222595214843750000, gpu ,  0 , dram ,  0.049850463867187500, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.314361572265625000, core , 0.198364257812500000, gpu ,  0 , dram ,  0.042434692382812500, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.353790283203125000, core , 0.223342895507812500, gpu ,  0 , dram ,  0.049850463867187500, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.314056396484375000, core , 0.198135375976562500, gpu ,  0 , dram ,  0.044830322265625000, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.353546142578125000, core , 0.223114013671875000, gpu ,  0 , dram ,  0.050292968750000000, VMPEAK ,    8236 , time , 8 
compiler , js-24 , testcase , array-findIndex , package , 0.314773559570312500, core , 0.198867797851562500, gpu ,  0 , dram ,  0.038238525390625000, VMPEAK ,    8236 , time , 8 
