Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , node , testcase , array-findIndex , package , 2.206695556640625000, core , 1.324645996093750000, gpu ,  0 , dram ,  0.363372802734375000, VMPEAK ,    8236 , time , 60 
compiler , node , testcase , array-findIndex , package , 2.680023193359375000, core , 1.406875610351562500, gpu ,  0 , dram ,  0.501815795898437500, VMPEAK ,    8236 , time , 88 
compiler , node , testcase , array-findIndex , package , 2.135498046875000000, core , 1.338867187500000000, gpu ,  0 , dram ,  0.322570800781250000, VMPEAK ,    8236 , time , 54 
compiler , node , testcase , array-findIndex , package , 2.098510742187500000, core , 1.316024780273437500, gpu ,  0 , dram ,  0.314651489257812500, VMPEAK ,    8236 , time , 54 
compiler , node , testcase , array-findIndex , package , 2.100997924804687500, core , 1.318252563476562500, gpu ,  0 , dram ,  0.320098876953125000, VMPEAK ,    8236 , time , 54 
compiler , node , testcase , array-findIndex , package , 2.272659301757812500, core , 1.012512207031250000, gpu ,  0 , dram ,  0.509185791015625000, VMPEAK ,    8236 , time , 86 
compiler , node , testcase , array-findIndex , package , 2.582901000976562500, core , 0.692794799804687500, gpu ,  0 , dram ,  0.751556396484375000, VMPEAK ,    8236 , time , 132 
compiler , node , testcase , array-findIndex , package , 2.582855224609375000, core , 0.687835693359375000, gpu ,  0 , dram ,  0.758605957031250000, VMPEAK ,    8236 , time , 131 
compiler , node , testcase , array-findIndex , package , 2.602294921875000000, core , 0.693054199218750000, gpu ,  0 , dram ,  0.771606445312500000, VMPEAK ,    8236 , time , 133 
compiler , node , testcase , array-findIndex , package , 2.325653076171875000, core , 1.139389038085937500, gpu ,  0 , dram ,  0.483215332031250000, VMPEAK ,    8236 , time , 82 
