Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-hades , testcase , array-forEach , package , 2766.895523071289062500, core , 1770.422698974609375000, gpu ,  0 , dram ,  363.539215087890625000, VMPEAK ,    8236 , time , 68797 
compiler , hermes-hades , testcase , array-forEach , package , -62731.611999511718750000, core , 1803.017837524414062500, gpu ,  0 , dram ,  363.762969970703125000, VMPEAK ,    8236 , time , 68882 
compiler , hermes-hades , testcase , array-forEach , package , 2835.425491333007812500, core , 1831.355484008789062500, gpu ,  0 , dram ,  366.120407104492187500, VMPEAK ,    8236 , time , 68970 
compiler , hermes-hades , testcase , array-forEach , package , 2842.830856323242187500, core , 1840.252593994140625000, gpu ,  0 , dram ,  364.924377441406250000, VMPEAK ,    8236 , time , 68674 
compiler , hermes-hades , testcase , array-forEach , package , 2849.582992553710937500, core , 1843.775955200195312500, gpu ,  0 , dram ,  366.151809692382812500, VMPEAK ,    8236 , time , 68784 
compiler , hermes-hades , testcase , array-forEach , package , 2857.751342773437500000, core , 1850.063171386718750000, gpu ,  0 , dram ,  367.383682250976562500, VMPEAK ,    8236 , time , 68832 
compiler , hermes-hades , testcase , array-forEach , package , 2859.129669189453125000, core , 1850.487365722656250000, gpu ,  0 , dram ,  366.713378906250000000, VMPEAK ,    8236 , time , 68856 
compiler , hermes-hades , testcase , array-forEach , package , 2852.911819458007812500, core , 1847.094406127929687500, gpu ,  0 , dram ,  362.532119750976562500, VMPEAK ,    8236 , time , 68638 
compiler , hermes-hades , testcase , array-forEach , package , 2880.045486450195312500, core , 1863.807022094726562500, gpu ,  0 , dram ,  367.104980468750000000, VMPEAK ,    8236 , time , 69377 
compiler , hermes-hades , testcase , array-forEach , package , 2851.816619873046875000, core , 1846.593032836914062500, gpu ,  0 , dram ,  363.160903930664062500, VMPEAK ,    8236 , time , 68632 
