Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-malloc , testcase , array-forEach , package , 2692.690170288085937500, core , 1721.564620971679687500, gpu ,  0 , dram ,  352.529388427734375000, VMPEAK ,    8236 , time , 66989 
compiler , hermes-malloc , testcase , array-forEach , package , 2728.082977294921875000, core , 1755.885665893554687500, gpu ,  0 , dram ,  353.808731079101562500, VMPEAK ,    8236 , time , 66869 
compiler , hermes-malloc , testcase , array-forEach , package , 2748.727767944335937500, core , 1776.713699340820312500, gpu ,  0 , dram ,  354.444900512695312500, VMPEAK ,    8236 , time , 66759 
compiler , hermes-malloc , testcase , array-forEach , package , 2763.759979248046875000, core , 1789.878326416015625000, gpu ,  0 , dram ,  353.423645019531250000, VMPEAK ,    8236 , time , 66730 
compiler , hermes-malloc , testcase , array-forEach , package , 2780.651580810546875000, core , 1799.201049804687500000, gpu ,  0 , dram ,  355.298660278320312500, VMPEAK ,    8236 , time , 67121 
compiler , hermes-malloc , testcase , array-forEach , package , 2772.307327270507812500, core , 1793.605041503906250000, gpu ,  0 , dram ,  350.685913085937500000, VMPEAK ,    8236 , time , 66811 
compiler , hermes-malloc , testcase , array-forEach , package , 2803.863494873046875000, core , 1814.276748657226562500, gpu ,  0 , dram ,  354.281555175781250000, VMPEAK ,    8236 , time , 67554 
compiler , hermes-malloc , testcase , array-forEach , package , 2789.230346679687500000, core , 1804.456726074218750000, gpu ,  0 , dram ,  350.410919189453125000, VMPEAK ,    8236 , time , 67238 
compiler , hermes-malloc , testcase , array-forEach , package , 2800.713348388671875000, core , 1811.779724121093750000, gpu ,  0 , dram ,  354.893127441406250000, VMPEAK ,    8236 , time , 67472 
compiler , hermes-malloc , testcase , array-forEach , package , 2779.752075195312500000, core , 1798.980758666992187500, gpu ,  0 , dram ,  351.827178955078125000, VMPEAK ,    8236 , time , 66902 
