Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , mujs , testcase , array-forEach , package , 140.840087890625000000, core , 85.529556274414062500, gpu ,  0 , dram ,  19.783081054687500000, VMPEAK ,    8236 , time , 3807 
compiler , mujs , testcase , array-forEach , package , 138.031890869140625000, core , 87.495513916015625000, gpu ,  0 , dram ,  18.048080444335937500, VMPEAK ,    8236 , time , 3472 
compiler , mujs , testcase , array-forEach , package , 141.693161010742187500, core , 89.780715942382812500, gpu ,  0 , dram ,  18.559402465820312500, VMPEAK ,    8236 , time , 3567 
compiler , mujs , testcase , array-forEach , package , 139.431961059570312500, core , 88.471755981445312500, gpu ,  0 , dram ,  18.216964721679687500, VMPEAK ,    8236 , time , 3504 
compiler , mujs , testcase , array-forEach , package , 138.275405883789062500, core , 87.681320190429687500, gpu ,  0 , dram ,  18.092086791992187500, VMPEAK ,    8236 , time , 3478 
compiler , mujs , testcase , array-forEach , package , 139.063507080078125000, core , 88.259170532226562500, gpu ,  0 , dram ,  18.191345214843750000, VMPEAK ,    8236 , time , 3495 
compiler , mujs , testcase , array-forEach , package , 137.846817016601562500, core , 87.494979858398437500, gpu ,  0 , dram ,  18.016204833984375000, VMPEAK ,    8236 , time , 3462 
compiler , mujs , testcase , array-forEach , package , 138.647064208984375000, core , 88.028060913085937500, gpu ,  0 , dram ,  18.135437011718750000, VMPEAK ,    8236 , time , 3482 
compiler , mujs , testcase , array-forEach , package , 139.603225708007812500, core , 88.662322998046875000, gpu ,  0 , dram ,  18.184829711914062500, VMPEAK ,    8236 , time , 3505 
compiler , mujs , testcase , array-forEach , package , 142.289825439453125000, core , 90.433624267578125000, gpu ,  0 , dram ,  18.650863647460937500, VMPEAK ,    8236 , time , 3571 
