Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , node , testcase , array-some , package , 2.928985595703125000, core , 1.772521972656250000, gpu ,  0 , dram ,  0.448013305664062500, VMPEAK ,    8236 , time , 80 
compiler , node , testcase , array-some , package , 3.278076171875000000, core , 1.254165649414062500, gpu ,  0 , dram ,  0.788833618164062500, VMPEAK ,    8236 , time , 141 
compiler , node , testcase , array-some , package , 3.645736694335937500, core , 0.973312377929687500, gpu ,  0 , dram ,  1.037170410156250000, VMPEAK ,    8236 , time , 184 
compiler , node , testcase , array-some , package , 3.687149047851562500, core , 0.985458374023437500, gpu ,  0 , dram ,  1.062286376953125000, VMPEAK ,    8236 , time , 187 
compiler , node , testcase , array-some , package , 2.907302856445312500, core , 1.735580444335937500, gpu ,  0 , dram ,  0.467956542968750000, VMPEAK ,    8236 , time , 81 
compiler , node , testcase , array-some , package , 2.811401367187500000, core , 1.768463134765625000, gpu ,  0 , dram ,  0.419418334960937500, VMPEAK ,    8236 , time , 72 
compiler , node , testcase , array-some , package , 2.851913452148437500, core , 1.819198608398437500, gpu ,  0 , dram ,  0.420455932617187500, VMPEAK ,    8236 , time , 73 
compiler , node , testcase , array-some , package , 2.814300537109375000, core , 1.770874023437500000, gpu ,  0 , dram ,  0.417434692382812500, VMPEAK ,    8236 , time , 73 
compiler , node , testcase , array-some , package , 2.851730346679687500, core , 1.793685913085937500, gpu ,  0 , dram ,  0.417648315429687500, VMPEAK ,    8236 , time , 72 
compiler , node , testcase , array-some , package , 2.854675292968750000, core , 1.796478271484375000, gpu ,  0 , dram ,  0.415557861328125000, VMPEAK ,    8236 , time , 73 
