Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-6m , testcase , iter-linked-list , package , 214.543640136718750000, core , 133.174957275390625000, gpu ,  0 , dram ,  29.274246215820312500, VMPEAK ,    8236 , time , 5591 
compiler , jerry-6m , testcase , iter-linked-list , package , 212.491928100585937500, core , 135.732055664062500000, gpu ,  0 , dram ,  27.596206665039062500, VMPEAK ,    8236 , time , 5264 
compiler , jerry-6m , testcase , iter-linked-list , package , 212.534729003906250000, core , 135.788513183593750000, gpu ,  0 , dram ,  27.376281738281250000, VMPEAK ,    8236 , time , 5265 
compiler , jerry-6m , testcase , iter-linked-list , package , 212.695419311523437500, core , 135.808059692382812500, gpu ,  0 , dram ,  27.372711181640625000, VMPEAK ,    8236 , time , 5275 
compiler , jerry-6m , testcase , iter-linked-list , package , 209.469619750976562500, core , 133.780807495117187500, gpu ,  0 , dram ,  27.233795166015625000, VMPEAK ,    8236 , time , 5192 
compiler , jerry-6m , testcase , iter-linked-list , package , 212.228958129882812500, core , 135.467300415039062500, gpu ,  0 , dram ,  27.500274658203125000, VMPEAK ,    8236 , time , 5267 
compiler , jerry-6m , testcase , iter-linked-list , package , 213.950836181640625000, core , 136.558578491210937500, gpu ,  0 , dram ,  27.507583618164062500, VMPEAK ,    8236 , time , 5312 
compiler , jerry-6m , testcase , iter-linked-list , package , 212.508605957031250000, core , 135.574874877929687500, gpu ,  0 , dram ,  27.431793212890625000, VMPEAK ,    8236 , time , 5284 
compiler , jerry-6m , testcase , iter-linked-list , package , 210.057266235351562500, core , 134.082672119140625000, gpu ,  0 , dram ,  27.358078002929687500, VMPEAK ,    8236 , time , 5215 
compiler , jerry-6m , testcase , iter-linked-list , package , 218.939590454101562500, core , 139.618057250976562500, gpu ,  0 , dram ,  28.211273193359375000, VMPEAK ,    8236 , time , 5447 
