Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , iter-linked-list , package , 68.542602539062500000, core , 39.820419311523437500, gpu ,  0 , dram ,  12.337539672851562500, VMPEAK ,    8236 , time , 1970 
compiler , jsc , testcase , iter-linked-list , package , 66.377548217773437500, core , 42.238327026367187500, gpu ,  0 , dram ,  10.398956298828125000, VMPEAK ,    8236 , time , 1652 
compiler , jsc , testcase , iter-linked-list , package , 66.013214111328125000, core , 42.019653320312500000, gpu ,  0 , dram ,  10.344436645507812500, VMPEAK ,    8236 , time , 1643 
compiler , jsc , testcase , iter-linked-list , package , 66.452255249023437500, core , 42.320968627929687500, gpu ,  0 , dram ,  10.427047729492187500, VMPEAK ,    8236 , time , 1654 
compiler , jsc , testcase , iter-linked-list , package , 67.020217895507812500, core , 42.681442260742187500, gpu ,  0 , dram ,  10.524826049804687500, VMPEAK ,    8236 , time , 1669 
compiler , jsc , testcase , iter-linked-list , package , 65.911926269531250000, core , 41.990859985351562500, gpu ,  0 , dram ,  10.340209960937500000, VMPEAK ,    8236 , time , 1639 
compiler , jsc , testcase , iter-linked-list , package , 65.713104248046875000, core , 41.867553710937500000, gpu ,  0 , dram ,  10.333190917968750000, VMPEAK ,    8236 , time , 1635 
compiler , jsc , testcase , iter-linked-list , package , 65.631866455078125000, core , 41.812835693359375000, gpu ,  0 , dram ,  10.339126586914062500, VMPEAK ,    8236 , time , 1631 
compiler , jsc , testcase , iter-linked-list , package , 67.091888427734375000, core , 42.734878540039062500, gpu ,  0 , dram ,  10.525039672851562500, VMPEAK ,    8236 , time , 1670 
compiler , jsc , testcase , iter-linked-list , package , 65.977767944335937500, core , 42.040496826171875000, gpu ,  0 , dram ,  10.367614746093750000, VMPEAK ,    8236 , time , 1641 
