Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , duk , testcase , linked-list , package , 2974.337173461914062500, core , 1885.397949218750000000, gpu ,  0 , dram ,  386.707519531250000000, VMPEAK ,    8236 , time , 74915 
compiler , duk , testcase , linked-list , package , 3039.542022705078125000, core , 1939.655883789062500000, gpu ,  0 , dram ,  390.211441040039062500, VMPEAK ,    8236 , time , 75437 
compiler , duk , testcase , linked-list , package , 3024.431365966796875000, core , 1935.123199462890625000, gpu ,  0 , dram ,  387.645401000976562500, VMPEAK ,    8236 , time , 74533 
compiler , duk , testcase , linked-list , package , 3056.606796264648437500, core , 1954.739196777343750000, gpu ,  0 , dram ,  388.876159667968750000, VMPEAK ,    8236 , time , 75308 
compiler , duk , testcase , linked-list , package , 3023.428558349609375000, core , 1933.096832275390625000, gpu ,  0 , dram ,  384.204040527343750000, VMPEAK ,    8236 , time , 74500 
compiler , duk , testcase , linked-list , package , 3027.527526855468750000, core , 1934.264022827148437500, gpu ,  0 , dram ,  383.721771240234375000, VMPEAK ,    8236 , time , 74654 
compiler , duk , testcase , linked-list , package , 3085.119628906250000000, core , 1971.688598632812500000, gpu ,  0 , dram ,  392.645111083984375000, VMPEAK ,    8236 , time , 76036 
compiler , duk , testcase , linked-list , package , -62500.774398803710937500, core , 1940.127838134765625000, gpu ,  0 , dram ,  385.630889892578125000, VMPEAK ,    8236 , time , 74787 
compiler , duk , testcase , linked-list , package , 3019.377578735351562500, core , 1928.628402709960937500, gpu ,  0 , dram ,  382.544815063476562500, VMPEAK ,    8236 , time , 74442 
compiler , duk , testcase , linked-list , package , 3032.961044311523437500, core , 1936.886672973632812500, gpu ,  0 , dram ,  388.096252441406250000, VMPEAK ,    8236 , time , 74804 
