Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-6m , testcase , loop , package , 19.879470825195312500, core , 8.827911376953125000, gpu ,  0 , dram ,  4.012039184570312500, VMPEAK ,    8236 , time , 767 
compiler , jerry-6m , testcase , loop , package , 17.017669677734375000, core , 10.639083862304687500, gpu ,  0 , dram ,  2.336456298828125000, VMPEAK ,    8236 , time , 441 
compiler , jerry-6m , testcase , loop , package , 17.059753417968750000, core , 10.676620483398437500, gpu ,  0 , dram ,  2.317596435546875000, VMPEAK ,    8236 , time , 442 
compiler , jerry-6m , testcase , loop , package , 17.074645996093750000, core , 10.690429687500000000, gpu ,  0 , dram ,  2.306076049804687500, VMPEAK ,    8236 , time , 441 
compiler , jerry-6m , testcase , loop , package , 17.057312011718750000, core , 10.669677734375000000, gpu ,  0 , dram ,  2.279251098632812500, VMPEAK ,    8236 , time , 442 
compiler , jerry-6m , testcase , loop , package , 17.094665527343750000, core , 10.706527709960937500, gpu ,  0 , dram ,  2.303207397460937500, VMPEAK ,    8236 , time , 441 
compiler , jerry-6m , testcase , loop , package , 17.037490844726562500, core , 10.661132812500000000, gpu ,  0 , dram ,  2.295364379882812500, VMPEAK ,    8236 , time , 440 
compiler , jerry-6m , testcase , loop , package , 17.083511352539062500, core , 10.693618774414062500, gpu ,  0 , dram ,  2.295104980468750000, VMPEAK ,    8236 , time , 442 
compiler , jerry-6m , testcase , loop , package , 17.128356933593750000, core , 10.723007202148437500, gpu ,  0 , dram ,  2.283569335937500000, VMPEAK ,    8236 , time , 441 
compiler , jerry-6m , testcase , loop , package , 17.101516723632812500, core , 10.710159301757812500, gpu ,  0 , dram ,  2.307113647460937500, VMPEAK ,    8236 , time , 442 
