Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , loop , package , 5.719680786132812500, core , 2.530319213867187500, gpu ,  0 , dram ,  1.336364746093750000, VMPEAK ,    8236 , time , 219 
compiler , js , testcase , loop , package , 6.148681640625000000, core , 1.694091796875000000, gpu ,  0 , dram ,  1.814697265625000000, VMPEAK ,    8236 , time , 308 
compiler , js , testcase , loop , package , 5.909698486328125000, core , 3.416687011718750000, gpu ,  0 , dram ,  1.037475585937500000, VMPEAK ,    8236 , time , 171 
compiler , js , testcase , loop , package , 5.289794921875000000, core , 3.376464843750000000, gpu ,  0 , dram ,  0.790756225585937500, VMPEAK ,    8236 , time , 131 
compiler , js , testcase , loop , package , 5.207672119140625000, core , 3.323760986328125000, gpu ,  0 , dram ,  0.779342651367187500, VMPEAK ,    8236 , time , 129 
compiler , js , testcase , loop , package , 5.140869140625000000, core , 3.286544799804687500, gpu ,  0 , dram ,  0.762298583984375000, VMPEAK ,    8236 , time , 126 
compiler , js , testcase , loop , package , 5.135162353515625000, core , 3.282470703125000000, gpu ,  0 , dram ,  0.771011352539062500, VMPEAK ,    8236 , time , 127 
compiler , js , testcase , loop , package , 5.137313842773437500, core , 3.286010742187500000, gpu ,  0 , dram ,  0.777053833007812500, VMPEAK ,    8236 , time , 127 
compiler , js , testcase , loop , package , 4.978393554687500000, core , 3.184951782226562500, gpu ,  0 , dram ,  0.749557495117187500, VMPEAK ,    8236 , time , 123 
compiler , js , testcase , loop , package , 4.901245117187500000, core , 3.162994384765625000, gpu ,  0 , dram ,  0.744949340820312500, VMPEAK ,    8236 , time , 122 
