Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jerry-6m , testcase , n-body , package , 621.294250488281250000, core , 386.071426391601562500, gpu ,  0 , dram ,  83.018447875976562500, VMPEAK ,    8236 , time , 16287 
compiler , jerry-6m , testcase , n-body , package , 591.127975463867187500, core , 370.713012695312500000, gpu ,  0 , dram ,  78.342437744140625000, VMPEAK ,    8236 , time , 15277 
compiler , jerry-6m , testcase , n-body , package , 619.351882934570312500, core , 388.711410522460937500, gpu ,  0 , dram ,  82.281570434570312500, VMPEAK ,    8236 , time , 15971 
compiler , jerry-6m , testcase , n-body , package , 618.504135131835937500, core , 388.824783325195312500, gpu ,  0 , dram ,  82.479324340820312500, VMPEAK ,    8236 , time , 15885 
compiler , jerry-6m , testcase , n-body , package , 605.878601074218750000, core , 381.398101806640625000, gpu ,  0 , dram ,  79.897659301757812500, VMPEAK ,    8236 , time , 15498 
compiler , jerry-6m , testcase , n-body , package , 624.332275390625000000, core , 393.291168212890625000, gpu ,  0 , dram ,  82.165557861328125000, VMPEAK ,    8236 , time , 15933 
compiler , jerry-6m , testcase , n-body , package , 599.425628662109375000, core , 378.060150146484375000, gpu ,  0 , dram ,  79.136322021484375000, VMPEAK ,    8236 , time , 15251 
compiler , jerry-6m , testcase , n-body , package , 616.352996826171875000, core , 389.037918090820312500, gpu ,  0 , dram ,  82.200851440429687500, VMPEAK ,    8236 , time , 15647 
compiler , jerry-6m , testcase , n-body , package , 600.437362670898437500, core , -65156.629791259765625000, gpu ,  0 , dram ,  79.498214721679687500, VMPEAK ,    8236 , time , 15203 
compiler , jerry-6m , testcase , n-body , package , 612.334152221679687500, core , 387.025177001953125000, gpu ,  0 , dram ,  80.301986694335937500, VMPEAK ,    8236 , time , 15482 
