Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , n-body , package , 4.796783447265625000, core , 2.990936279296875000, gpu ,  0 , dram ,  0.686660766601562500, VMPEAK ,    8236 , time , 126 
compiler , js-52 , testcase , n-body , package , 4.734130859375000000, core , 2.957015991210937500, gpu ,  0 , dram ,  0.664657592773437500, VMPEAK ,    8236 , time , 123 
compiler , js-52 , testcase , n-body , package , 6.435501098632812500, core , 1.900283813476562500, gpu ,  0 , dram ,  1.648590087890625000, VMPEAK ,    8236 , time , 315 
compiler , js-52 , testcase , n-body , package , 5.810363769531250000, core , 2.214569091796875000, gpu ,  0 , dram ,  1.324066162109375000, VMPEAK ,    8236 , time , 249 
compiler , js-52 , testcase , n-body , package , 4.728179931640625000, core , 2.951629638671875000, gpu ,  0 , dram ,  0.660751342773437500, VMPEAK ,    8236 , time , 123 
compiler , js-52 , testcase , n-body , package , 4.735321044921875000, core , 2.957015991210937500, gpu ,  0 , dram ,  0.636856079101562500, VMPEAK ,    8236 , time , 122 
compiler , js-52 , testcase , n-body , package , 4.702392578125000000, core , 2.937988281250000000, gpu ,  0 , dram ,  0.649154663085937500, VMPEAK ,    8236 , time , 123 
compiler , js-52 , testcase , n-body , package , 4.750976562500000000, core , 2.971771240234375000, gpu ,  0 , dram ,  0.658569335937500000, VMPEAK ,    8236 , time , 123 
compiler , js-52 , testcase , n-body , package , 4.745239257812500000, core , 2.966033935546875000, gpu ,  0 , dram ,  0.655288696289062500, VMPEAK ,    8236 , time , 123 
compiler , js-52 , testcase , n-body , package , 4.743698120117187500, core , 2.964355468750000000, gpu ,  0 , dram ,  0.657424926757812500, VMPEAK ,    8236 , time , 122 
