Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , strconcat , package , 14579.608627319335937500, core , 9366.755187988281250000, gpu ,  0 , dram ,  1855.080413818359375000, VMPEAK ,    8236 , time , 358489 
compiler , hermes-gengc , testcase , strconcat , package , 14848.683654785156250000, core , 9586.429031372070312500, gpu ,  0 , dram ,  1871.305648803710937500, VMPEAK ,    8236 , time , 358998 
compiler , hermes-gengc , testcase , strconcat , package , 14875.743743896484375000, core , -55928.080429077148437500, gpu ,  0 , dram ,  1881.318740844726562500, VMPEAK ,    8236 , time , 359062 
compiler , hermes-gengc , testcase , strconcat , package , -50682.078155517578125000, core , 9595.350936889648437500, gpu ,  0 , dram ,  1889.222137451171875000, VMPEAK ,    8236 , time , 358481 
compiler , hermes-gengc , testcase , strconcat , package , 14849.953689575195312500, core , 9593.053115844726562500, gpu ,  0 , dram ,  1913.151321411132812500, VMPEAK ,    8236 , time , 358231 
compiler , hermes-gengc , testcase , strconcat , package , 14861.519836425781250000, core , 9599.056610107421875000, gpu ,  0 , dram ,  1894.534423828125000000, VMPEAK ,    8236 , time , 358585 
compiler , hermes-gengc , testcase , strconcat , package , 14851.554855346679687500, core , 9595.718719482421875000, gpu ,  0 , dram ,  1878.748214721679687500, VMPEAK ,    8236 , time , 358373 
compiler , hermes-gengc , testcase , strconcat , package , 14875.550430297851562500, core , 9612.806655883789062500, gpu ,  0 , dram ,  1890.907867431640625000, VMPEAK ,    8236 , time , 359039 
compiler , hermes-gengc , testcase , strconcat , package , -50647.686645507812500000, core , 9623.128036499023437500, gpu ,  0 , dram ,  1905.380264282226562500, VMPEAK ,    8236 , time , 359194 
compiler , hermes-gengc , testcase , strconcat , package , 14846.994323730468750000, core , -55943.296066284179687500, gpu ,  0 , dram ,  1895.710037231445312500, VMPEAK ,    8236 , time , 358298 
