Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-24 , testcase , strconcat , package , 25.133773803710937500, core , 12.370803833007812500, gpu ,  0 , dram ,  6.402175903320312500, VMPEAK ,    8236 , time , 871 
compiler , js-24 , testcase , strconcat , package , 23.417205810546875000, core , 15.001464843750000000, gpu ,  0 , dram ,  4.481552124023437500, VMPEAK ,    8236 , time , 570 
compiler , js-24 , testcase , strconcat , package , 23.614501953125000000, core , 15.141067504882812500, gpu ,  0 , dram ,  4.524322509765625000, VMPEAK ,    8236 , time , 572 
compiler , js-24 , testcase , strconcat , package , 23.642791748046875000, core , 15.188461303710937500, gpu ,  0 , dram ,  4.550827026367187500, VMPEAK ,    8236 , time , 573 
compiler , js-24 , testcase , strconcat , package , 23.654953002929687500, core , 15.181243896484375000, gpu ,  0 , dram ,  4.527725219726562500, VMPEAK ,    8236 , time , 573 
compiler , js-24 , testcase , strconcat , package , 23.940856933593750000, core , 15.351669311523437500, gpu ,  0 , dram ,  4.616058349609375000, VMPEAK ,    8236 , time , 579 
compiler , js-24 , testcase , strconcat , package , 23.496490478515625000, core , 15.076309204101562500, gpu ,  0 , dram ,  4.478698730468750000, VMPEAK ,    8236 , time , 569 
compiler , js-24 , testcase , strconcat , package , 23.582046508789062500, core , 15.132598876953125000, gpu ,  0 , dram ,  4.507232666015625000, VMPEAK ,    8236 , time , 570 
compiler , js-24 , testcase , strconcat , package , 23.675186157226562500, core , 15.190795898437500000, gpu ,  0 , dram ,  4.566604614257812500, VMPEAK ,    8236 , time , 573 
compiler , js-24 , testcase , strconcat , package , 23.860595703125000000, core , 15.309082031250000000, gpu ,  0 , dram ,  4.671264648437500000, VMPEAK ,    8236 , time , 576 
