Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , 3d-cube , package , 5060.449462890625000000, core , 3225.499099731445312500, gpu ,  0 , dram ,  671.315002441406250000, VMPEAK ,    8236 , time , 126279 
compiler , hermes-gengc , testcase , 3d-cube , package , 5118.491973876953125000, core , 3288.858428955078125000, gpu ,  0 , dram ,  664.344360351562500000, VMPEAK ,    8236 , time , 125468 
compiler , hermes-gengc , testcase , 3d-cube , package , 5185.961349487304687500, core , 3332.182754516601562500, gpu ,  0 , dram ,  668.166580200195312500, VMPEAK ,    8236 , time , 126673 
compiler , hermes-gengc , testcase , 3d-cube , package , 5159.408767700195312500, core , 3316.135360717773437500, gpu ,  0 , dram ,  659.200866699218750000, VMPEAK ,    8236 , time , 125724 
compiler , hermes-gengc , testcase , 3d-cube , package , 5163.746658325195312500, core , 3320.655914306640625000, gpu ,  0 , dram ,  655.704803466796875000, VMPEAK ,    8236 , time , 125674 
compiler , hermes-gengc , testcase , 3d-cube , package , 5163.958953857421875000, core , 3320.375595092773437500, gpu ,  0 , dram ,  661.606674194335937500, VMPEAK ,    8236 , time , 125675 
compiler , hermes-gengc , testcase , 3d-cube , package , 5157.554351806640625000, core , 3317.630844116210937500, gpu ,  0 , dram ,  660.018737792968750000, VMPEAK ,    8236 , time , 125498 
compiler , hermes-gengc , testcase , 3d-cube , package , 5158.749862670898437500, core , -62218.229721069335937500, gpu ,  0 , dram ,  658.993972778320312500, VMPEAK ,    8236 , time , 125502 
compiler , hermes-gengc , testcase , 3d-cube , package , -60379.528045654296875000, core , 3314.885177612304687500, gpu ,  0 , dram ,  669.265380859375000000, VMPEAK ,    8236 , time , 125512 
compiler , hermes-gengc , testcase , 3d-cube , package , 5200.361907958984375000, core , 3344.591690063476562500, gpu ,  0 , dram ,  667.481704711914062500, VMPEAK ,    8236 , time , 126497 
