Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , 3d-cube , package , 7.957885742187500000, core , 5.927795410156250000, gpu ,  0 , dram ,  1.548126220703125000, VMPEAK ,    8292 , time , 179 
compiler , js-52 , testcase , 3d-cube , package , 7.933578491210937500, core , 5.970932006835937500, gpu ,  0 , dram ,  1.512863159179687500, VMPEAK ,    8292 , time , 171 
compiler , js-52 , testcase , 3d-cube , package , 7.899398803710937500, core , 5.947097778320312500, gpu ,  0 , dram ,  1.512786865234375000, VMPEAK ,    8292 , time , 171 
compiler , js-52 , testcase , 3d-cube , package , 7.851074218750000000, core , 5.910949707031250000, gpu ,  0 , dram ,  1.477264404296875000, VMPEAK ,    8292 , time , 170 
compiler , js-52 , testcase , 3d-cube , package , 7.898818969726562500, core , 5.947982788085937500, gpu ,  0 , dram ,  1.486404418945312500, VMPEAK ,    8292 , time , 171 
compiler , js-52 , testcase , 3d-cube , package , 7.900604248046875000, core , 5.948837280273437500, gpu ,  0 , dram ,  1.513519287109375000, VMPEAK ,    8292 , time , 172 
compiler , js-52 , testcase , 3d-cube , package , 7.906234741210937500, core , 5.954956054687500000, gpu ,  0 , dram ,  1.503814697265625000, VMPEAK ,    8292 , time , 171 
compiler , js-52 , testcase , 3d-cube , package , 7.900497436523437500, core , 5.949737548828125000, gpu ,  0 , dram ,  1.504394531250000000, VMPEAK ,    8292 , time , 171 
compiler , js-52 , testcase , 3d-cube , package , 7.861541748046875000, core , 5.921920776367187500, gpu ,  0 , dram ,  1.495300292968750000, VMPEAK ,    8292 , time , 170 
compiler , js-52 , testcase , 3d-cube , package , 7.901062011718750000, core , 5.950317382812500000, gpu ,  0 , dram ,  1.504852294921875000, VMPEAK ,    8292 , time , 170 
