Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , 3d-cube , package , 123.044967651367187500, core , 92.552963256835937500, gpu ,  0 , dram ,  23.852920532226562500, VMPEAK ,    8292 , time , 2668 
compiler , js , testcase , 3d-cube , package , 122.637817382812500000, core , 92.271743774414062500, gpu ,  0 , dram ,  23.673995971679687500, VMPEAK ,    8292 , time , 2653 
compiler , js , testcase , 3d-cube , package , 120.659133911132812500, core , 90.848388671875000000, gpu ,  0 , dram ,  23.189270019531250000, VMPEAK ,    8292 , time , 2602 
compiler , js , testcase , 3d-cube , package , 111.965698242187500000, core , 84.283508300781250000, gpu ,  0 , dram ,  21.626190185546875000, VMPEAK ,    8292 , time , 2416 
compiler , js , testcase , 3d-cube , package , 115.369216918945312500, core , 86.857635498046875000, gpu ,  0 , dram ,  22.246276855468750000, VMPEAK ,    8292 , time , 2488 
compiler , js , testcase , 3d-cube , package , 117.279281616210937500, core , 88.312149047851562500, gpu ,  0 , dram ,  22.540039062500000000, VMPEAK ,    8292 , time , 2528 
compiler , js , testcase , 3d-cube , package , 120.705230712890625000, core , 90.926361083984375000, gpu ,  0 , dram ,  23.174667358398437500, VMPEAK ,    8292 , time , 2599 
compiler , js , testcase , 3d-cube , package , 118.339553833007812500, core , 89.181488037109375000, gpu ,  0 , dram ,  22.665908813476562500, VMPEAK ,    8292 , time , 2545 
compiler , js , testcase , 3d-cube , package , 121.526916503906250000, core , 91.597991943359375000, gpu ,  0 , dram ,  23.247436523437500000, VMPEAK ,    8292 , time , 2611 
compiler , js , testcase , 3d-cube , package , 114.490844726562500000, core , 86.303314208984375000, gpu ,  0 , dram ,  21.881439208984375000, VMPEAK ,    8292 , time , 2460 
