Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
compiler , espruino , testcase , 3d-morph , package , -13698.362121582031250000, core , 13611.546981811523437500, gpu ,  0 , dram ,  43702.897842407226562500, VMPEAK ,    8236 , time , 2.05144E+07 
compiler , espruino , testcase , 3d-morph , package , 51876.501220703125000000, core , 13276.364151000976562500, gpu ,  0 , dram ,  -22123.372482299804687500, VMPEAK ,    8236 , time , 2.05429E+07 
compiler , espruino , testcase , 3d-morph , package , -23844.003097534179687500, core , -11875.633331298828125000, gpu ,  0 , dram ,  24314.155151367187500000, VMPEAK ,    8236 , time , 1.70782E+07 
compiler , espruino , testcase , 3d-morph , package , -13698.362121582031250000, core , 13611.546981811523437500, gpu ,  0 , dram ,  43702.897842407226562500, VMPEAK ,    8236 , time , 2.05144E+07 
compiler , espruino , testcase , 3d-morph , package , 51876.501220703125000000, core , 13276.364151000976562500, gpu ,  0 , dram ,  -22123.372482299804687500, VMPEAK ,    8236 , time , 2.05429E+07 
compiler , espruino , testcase , 3d-morph , package , -23844.003097534179687500, core , -11875.633331298828125000, gpu ,  0 , dram ,  24314.155151367187500000, VMPEAK ,    8236 , time , 1.70782E+07 
compiler , espruino , testcase , 3d-morph , package , -13698.362121582031250000, core , 13611.546981811523437500, gpu ,  0 , dram ,  43702.897842407226562500, VMPEAK ,    8236 , time , 2.05144E+07 
compiler , espruino , testcase , 3d-morph , package , 51876.501220703125000000, core , 13276.364151000976562500, gpu ,  0 , dram ,  -22123.372482299804687500, VMPEAK ,    8236 , time , 2.05429E+07 
compiler , espruino , testcase , 3d-morph , package , -23844.003097534179687500, core , -11875.633331298828125000, gpu ,  0 , dram ,  24314.155151367187500000, VMPEAK ,    8236 , time , 1.70782E+07 
compiler , espruino , testcase , 3d-morph , package , -13698.362121582031250000, core , 13611.546981811523437500, gpu ,  0 , dram ,  43702.897842407226562500, VMPEAK ,    8236 , time , 2.05144E+07 
compiler , espruino , testcase , 3d-morph , package , 51876.501220703125000000, core , 13276.364151000976562500, gpu ,  0 , dram ,  -22123.372482299804687500, VMPEAK ,    8236 , time , 2.05429E+07 
compiler , espruino , testcase , 3d-morph , package , -23844.003097534179687500, core , -11875.633331298828125000, gpu ,  0 , dram ,  24314.155151367187500000, VMPEAK ,    8236 , time , 1.70782E+07 
