Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , mujs , testcase , 3d-morph , package , 525.157623291015625000, core , 396.049575805664062500, gpu ,  0 , dram ,  98.918106079101562500, VMPEAK ,    8292 , time , 11313 
compiler , mujs , testcase , 3d-morph , package , 543.463668823242187500, core , 409.976760864257812500, gpu ,  0 , dram ,  102.290237426757812500, VMPEAK ,    8292 , time , 11697 
compiler , mujs , testcase , 3d-morph , package , 524.212738037109375000, core , 395.602005004882812500, gpu ,  0 , dram ,  98.599365234375000000, VMPEAK ,    8292 , time , 11269 
compiler , mujs , testcase , 3d-morph , package , 518.784957885742187500, core , 391.678085327148437500, gpu ,  0 , dram ,  97.413238525390625000, VMPEAK ,    8292 , time , 11136 
compiler , mujs , testcase , 3d-morph , package , 525.756149291992187500, core , 396.719955444335937500, gpu ,  0 , dram ,  98.819396972656250000, VMPEAK ,    8292 , time , 11300 
compiler , mujs , testcase , 3d-morph , package , 519.055007934570312500, core , 391.656234741210937500, gpu ,  0 , dram ,  97.569732666015625000, VMPEAK ,    8292 , time , 11154 
compiler , mujs , testcase , 3d-morph , package , 519.266967773437500000, core , 391.949569702148437500, gpu ,  0 , dram ,  97.427322387695312500, VMPEAK ,    8292 , time , 11148 
compiler , mujs , testcase , 3d-morph , package , 531.984512329101562500, core , 401.463592529296875000, gpu ,  0 , dram ,  99.784423828125000000, VMPEAK ,    8292 , time , 11428 
compiler , mujs , testcase , 3d-morph , package , 525.571105957031250000, core , 396.765762329101562500, gpu ,  0 , dram ,  98.461593627929687500, VMPEAK ,    8292 , time , 11277 
compiler , mujs , testcase , 3d-morph , package , 518.230300903320312500, core , 391.277435302734375000, gpu ,  0 , dram ,  97.024765014648437500, VMPEAK ,    8292 , time , 11121 
