Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-nojit , testcase , 3d-morph , package , 8548.711685180664062500, core , 6490.186096191406250000, gpu ,  0 , dram ,  1579.516372680664062500, VMPEAK ,    8292 , time , 180535 
compiler , rhino-nojit , testcase , 3d-morph , package , 8452.944183349609375000, core , 6417.132736206054687500, gpu ,  0 , dram ,  1558.064102172851562500, VMPEAK ,    8292 , time , 178198 
compiler , rhino-nojit , testcase , 3d-morph , package , -57087.281356811523437500, core , 6413.855499267578125000, gpu ,  0 , dram ,  1557.076324462890625000, VMPEAK ,    8292 , time , 178022 
compiler , rhino-nojit , testcase , 3d-morph , package , 8490.109725952148437500, core , 6448.240264892578125000, gpu ,  0 , dram ,  1560.966278076171875000, VMPEAK ,    8292 , time , 178475 
compiler , rhino-nojit , testcase , 3d-morph , package , 8516.282150268554687500, core , 6470.134597778320312500, gpu ,  0 , dram ,  1563.641342163085937500, VMPEAK ,    8292 , time , 178807 
compiler , rhino-nojit , testcase , 3d-morph , package , 8537.634353637695312500, core , 6484.898712158203125000, gpu ,  0 , dram ,  1569.236541748046875000, VMPEAK ,    8292 , time , 179485 
compiler , rhino-nojit , testcase , 3d-morph , package , 8464.864166259765625000, core , -59107.830581665039062500, gpu ,  0 , dram ,  1557.023727416992187500, VMPEAK ,    8292 , time , 178047 
compiler , rhino-nojit , testcase , 3d-morph , package , 8647.931121826171875000, core , 6569.763809204101562500, gpu ,  0 , dram ,  1588.776870727539062500, VMPEAK ,    8292 , time , 181684 
compiler , rhino-nojit , testcase , 3d-morph , package , 8528.393615722656250000, core , 6477.694839477539062500, gpu ,  0 , dram ,  1567.632812500000000000, VMPEAK ,    8292 , time , 179245 
compiler , rhino-nojit , testcase , 3d-morph , package , -57038.558563232421875000, core , 6453.247711181640625000, gpu ,  0 , dram ,  1560.619400024414062500, VMPEAK ,    8292 , time , 178692 
