Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , ch-nojit , testcase , array-every , package , 14.756164550781250000, core , 11.115066528320312500, gpu ,  0 , dram ,  2.747909545898437500, VMPEAK ,    8292 , time , 322 
compiler , ch-nojit , testcase , array-every , package , 14.562988281250000000, core , 10.998718261718750000, gpu ,  0 , dram ,  2.756896972656250000, VMPEAK ,    8292 , time , 314 
compiler , ch-nojit , testcase , array-every , package , 14.635848999023437500, core , 11.046478271484375000, gpu ,  0 , dram ,  2.765289306640625000, VMPEAK ,    8292 , time , 315 
compiler , ch-nojit , testcase , array-every , package , 14.714401245117187500, core , 11.101867675781250000, gpu ,  0 , dram ,  2.801467895507812500, VMPEAK ,    8292 , time , 319 
compiler , ch-nojit , testcase , array-every , package , 14.522354125976562500, core , 10.977447509765625000, gpu ,  0 , dram ,  2.714523315429687500, VMPEAK ,    8292 , time , 311 
compiler , ch-nojit , testcase , array-every , package , 14.554290771484375000, core , 10.984451293945312500, gpu ,  0 , dram ,  2.766128540039062500, VMPEAK ,    8292 , time , 314 
compiler , ch-nojit , testcase , array-every , package , 14.694244384765625000, core , 11.113098144531250000, gpu ,  0 , dram ,  2.767776489257812500, VMPEAK ,    8292 , time , 314 
compiler , ch-nojit , testcase , array-every , package , 14.796463012695312500, core , 11.156631469726562500, gpu ,  0 , dram ,  2.792572021484375000, VMPEAK ,    8292 , time , 320 
compiler , ch-nojit , testcase , array-every , package , 14.763336181640625000, core , 11.170578002929687500, gpu ,  0 , dram ,  2.757278442382812500, VMPEAK ,    8292 , time , 316 
compiler , ch-nojit , testcase , array-every , package , 15.010971069335937500, core , 11.327224731445312500, gpu ,  0 , dram ,  2.854415893554687500, VMPEAK ,    8292 , time , 323 
