Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , jsc , testcase , array-find , package , 1.553497314453125000, core , 1.097869873046875000, gpu ,  0 , dram ,  0.355300903320312500, VMPEAK ,    8292 , time , 39 
compiler , jsc , testcase , array-find , package , 1.575393676757812500, core , 1.187225341796875000, gpu ,  0 , dram ,  0.304779052734375000, VMPEAK ,    8292 , time , 33 
compiler , jsc , testcase , array-find , package , 1.534683227539062500, core , 1.157455444335937500, gpu ,  0 , dram ,  0.297180175781250000, VMPEAK ,    8292 , time , 33 
compiler , jsc , testcase , array-find , package , 1.348495483398437500, core , 1.017242431640625000, gpu ,  0 , dram ,  0.242416381835937500, VMPEAK ,    8292 , time , 29 
compiler , jsc , testcase , array-find , package , 1.533813476562500000, core , 1.156875610351562500, gpu ,  0 , dram ,  0.286239624023437500, VMPEAK ,    8292 , time , 32 
compiler , jsc , testcase , array-find , package , 1.481170654296875000, core , 1.115722656250000000, gpu ,  0 , dram ,  0.287521362304687500, VMPEAK ,    8292 , time , 32 
compiler , jsc , testcase , array-find , package , 1.526748657226562500, core , 1.149841308593750000, gpu ,  0 , dram ,  0.296798706054687500, VMPEAK ,    8292 , time , 33 
compiler , jsc , testcase , array-find , package , 1.576324462890625000, core , 1.187881469726562500, gpu ,  0 , dram ,  0.303894042968750000, VMPEAK ,    8292 , time , 34 
compiler , jsc , testcase , array-find , package , 1.528961181640625000, core , 1.151977539062500000, gpu ,  0 , dram ,  0.295928955078125000, VMPEAK ,    8292 , time , 33 
compiler , jsc , testcase , array-find , package , 1.623977661132812500, core , 1.224151611328125000, gpu ,  0 , dram ,  0.312805175781250000, VMPEAK ,    8292 , time , 35 
