Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , ch-nojit , testcase , array-findIndex , package , 6.014633178710937500, core , 3.763031005859375000, gpu ,  0 , dram ,  0.908142089843750000, VMPEAK ,    8236 , time , 156 
compiler , ch-nojit , testcase , array-findIndex , package , 5.872390747070312500, core , 3.674636840820312500, gpu ,  0 , dram ,  0.896484375000000000, VMPEAK ,    8236 , time , 152 
compiler , ch-nojit , testcase , array-findIndex , package , 5.813705444335937500, core , 3.452606201171875000, gpu ,  0 , dram ,  0.955841064453125000, VMPEAK ,    8236 , time , 164 
compiler , ch-nojit , testcase , array-findIndex , package , 5.869369506835937500, core , 3.650634765625000000, gpu ,  0 , dram ,  0.902099609375000000, VMPEAK ,    8236 , time , 153 
compiler , ch-nojit , testcase , array-findIndex , package , 5.860031127929687500, core , 3.668914794921875000, gpu ,  0 , dram ,  0.884368896484375000, VMPEAK ,    8236 , time , 152 
compiler , ch-nojit , testcase , array-findIndex , package , 5.909393310546875000, core , 3.710220336914062500, gpu ,  0 , dram ,  0.882171630859375000, VMPEAK ,    8236 , time , 152 
compiler , ch-nojit , testcase , array-findIndex , package , 5.685943603515625000, core , 3.562469482421875000, gpu ,  0 , dram ,  0.869812011718750000, VMPEAK ,    8236 , time , 147 
compiler , ch-nojit , testcase , array-findIndex , package , 5.844268798828125000, core , 3.660568237304687500, gpu ,  0 , dram ,  0.882369995117187500, VMPEAK ,    8236 , time , 152 
compiler , ch-nojit , testcase , array-findIndex , package , 5.909545898437500000, core , 3.704086303710937500, gpu ,  0 , dram ,  0.882400512695312500, VMPEAK ,    8236 , time , 152 
compiler , ch-nojit , testcase , array-findIndex , package , 5.896896362304687500, core , 3.694808959960937500, gpu ,  0 , dram ,  0.897445678710937500, VMPEAK ,    8236 , time , 152 
