Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , d8 , testcase , array-forEach , package , 30.828887939453125000, core , 23.144607543945312500, gpu ,  0 , dram ,  5.883056640625000000, VMPEAK ,    8292 , time , 676 
compiler , d8 , testcase , array-forEach , package , 31.215133666992187500, core , 23.500320434570312500, gpu ,  0 , dram ,  5.889862060546875000, VMPEAK ,    8292 , time , 678 
compiler , d8 , testcase , array-forEach , package , 30.571151733398437500, core , 23.028839111328125000, gpu ,  0 , dram ,  5.738296508789062500, VMPEAK ,    8292 , time , 663 
compiler , d8 , testcase , array-forEach , package , 31.034622192382812500, core , 23.377273559570312500, gpu ,  0 , dram ,  5.852615356445312500, VMPEAK ,    8292 , time , 673 
compiler , d8 , testcase , array-forEach , package , 30.492034912109375000, core , 22.968063354492187500, gpu ,  0 , dram ,  5.734191894531250000, VMPEAK ,    8292 , time , 660 
compiler , d8 , testcase , array-forEach , package , 30.491622924804687500, core , 22.969787597656250000, gpu ,  0 , dram ,  5.760498046875000000, VMPEAK ,    8292 , time , 661 
compiler , d8 , testcase , array-forEach , package , 30.547683715820312500, core , 23.010864257812500000, gpu ,  0 , dram ,  5.764053344726562500, VMPEAK ,    8292 , time , 663 
compiler , d8 , testcase , array-forEach , package , 30.547256469726562500, core , 23.011123657226562500, gpu ,  0 , dram ,  5.725524902343750000, VMPEAK ,    8292 , time , 661 
compiler , d8 , testcase , array-forEach , package , 31.131942749023437500, core , 23.452423095703125000, gpu ,  0 , dram ,  5.918319702148437500, VMPEAK ,    8292 , time , 675 
compiler , d8 , testcase , array-forEach , package , 30.460723876953125000, core , 22.953475952148437500, gpu ,  0 , dram ,  5.762100219726562500, VMPEAK ,    8292 , time , 660 
