Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-nojit , testcase , array-forEach , package , 2860.628082275390625000, core , 1821.498733520507812500, gpu ,  0 , dram ,  403.008880615234375000, VMPEAK ,    8236 , time , 71505 
compiler , rhino-nojit , testcase , array-forEach , package , 2897.149505615234375000, core , 1857.757415771484375000, gpu ,  0 , dram ,  406.046630859375000000, VMPEAK ,    8236 , time , 71442 
compiler , rhino-nojit , testcase , array-forEach , package , 2895.376281738281250000, core , 1861.444381713867187500, gpu ,  0 , dram ,  404.700546264648437500, VMPEAK ,    8236 , time , 70882 
compiler , rhino-nojit , testcase , array-forEach , package , 2922.331512451171875000, core , 1877.535476684570312500, gpu ,  0 , dram ,  407.432510375976562500, VMPEAK ,    8236 , time , 71492 
compiler , rhino-nojit , testcase , array-forEach , package , 2952.817794799804687500, core , 1899.024902343750000000, gpu ,  0 , dram ,  407.260955810546875000, VMPEAK ,    8236 , time , 72013 
compiler , rhino-nojit , testcase , array-forEach , package , 2929.450286865234375000, core , 1883.600845336914062500, gpu ,  0 , dram ,  400.610015869140625000, VMPEAK ,    8236 , time , 71361 
compiler , rhino-nojit , testcase , array-forEach , package , 2939.201812744140625000, core , 1890.256240844726562500, gpu ,  0 , dram ,  401.466125488281250000, VMPEAK ,    8236 , time , 71526 
compiler , rhino-nojit , testcase , array-forEach , package , 2924.222396850585937500, core , 1881.274047851562500000, gpu ,  0 , dram ,  403.000915527343750000, VMPEAK ,    8236 , time , 71121 
compiler , rhino-nojit , testcase , array-forEach , package , 2953.084182739257812500, core , 1899.547515869140625000, gpu ,  0 , dram ,  407.409835815429687500, VMPEAK ,    8236 , time , 71799 
compiler , rhino-nojit , testcase , array-forEach , package , 2918.054550170898437500, core , 1877.217178344726562500, gpu ,  0 , dram ,  403.041397094726562500, VMPEAK ,    8236 , time , 70968 
