Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , array-forloop , package , 1.553344726562500000, core , 1.109970092773437500, gpu ,  0 , dram ,  0.344940185546875000, VMPEAK ,    8292 , time , 38 
compiler , js-52 , testcase , array-forloop , package , 1.442291259765625000, core , 1.089828491210937500, gpu ,  0 , dram ,  0.265426635742187500, VMPEAK ,    8292 , time , 31 
compiler , js-52 , testcase , array-forloop , package , 1.443801879882812500, core , 1.091369628906250000, gpu ,  0 , dram ,  0.265380859375000000, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.443649291992187500, core , 1.091201782226562500, gpu ,  0 , dram ,  0.265457153320312500, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.397628784179687500, core , 1.056472778320312500, gpu ,  0 , dram ,  0.265472412109375000, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.445129394531250000, core , 1.092330932617187500, gpu ,  0 , dram ,  0.274322509765625000, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.397445678710937500, core , 1.056350708007812500, gpu ,  0 , dram ,  0.265441894531250000, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.445449829101562500, core , 1.092987060546875000, gpu ,  0 , dram ,  0.274291992187500000, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.444686889648437500, core , 1.092132568359375000, gpu ,  0 , dram ,  0.274276733398437500, VMPEAK ,    8292 , time , 30 
compiler , js-52 , testcase , array-forloop , package , 1.399291992187500000, core , 1.057815551757812500, gpu ,  0 , dram ,  0.265441894531250000, VMPEAK ,    8292 , time , 30 
