Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , node , testcase , array-forloop , package , 2.855163574218750000, core , 2.082717895507812500, gpu ,  0 , dram ,  0.593551635742187500, VMPEAK ,    8292 , time , 67 
compiler , node , testcase , array-forloop , package , 2.779129028320312500, core , 2.097320556640625000, gpu ,  0 , dram ,  0.513534545898437500, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.783264160156250000, core , 2.101242065429687500, gpu ,  0 , dram ,  0.530838012695312500, VMPEAK ,    8292 , time , 59 
compiler , node , testcase , array-forloop , package , 2.782424926757812500, core , 2.100112915039062500, gpu ,  0 , dram ,  0.513137817382812500, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.783294677734375000, core , 2.100662231445312500, gpu ,  0 , dram ,  0.531036376953125000, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.786834716796875000, core , 2.104339599609375000, gpu ,  0 , dram ,  0.504730224609375000, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.788986206054687500, core , 2.106063842773437500, gpu ,  0 , dram ,  0.513473510742187500, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.786224365234375000, core , 2.103378295898437500, gpu ,  0 , dram ,  0.505447387695312500, VMPEAK ,    8292 , time , 60 
compiler , node , testcase , array-forloop , package , 2.735534667968750000, core , 2.064559936523437500, gpu ,  0 , dram ,  0.513641357421875000, VMPEAK ,    8292 , time , 59 
compiler , node , testcase , array-forloop , package , 2.783737182617187500, core , 2.101028442382812500, gpu ,  0 , dram ,  0.521911621093750000, VMPEAK ,    8292 , time , 60 
