Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , array-forloop , package , 27.053009033203125000, core , 20.247909545898437500, gpu ,  0 , dram ,  5.273818969726562500, VMPEAK ,    8292 , time , 601 
compiler , rhino-jit , testcase , array-forloop , package , 26.968399047851562500, core , 20.225540161132812500, gpu ,  0 , dram ,  5.215240478515625000, VMPEAK ,    8292 , time , 594 
compiler , rhino-jit , testcase , array-forloop , package , 27.648498535156250000, core , 20.632171630859375000, gpu ,  0 , dram ,  5.386352539062500000, VMPEAK ,    8292 , time , 618 
compiler , rhino-jit , testcase , array-forloop , package , 27.059112548828125000, core , 20.304244995117187500, gpu ,  0 , dram ,  5.222839355468750000, VMPEAK ,    8292 , time , 594 
compiler , rhino-jit , testcase , array-forloop , package , 27.707565307617187500, core , 20.699172973632812500, gpu ,  0 , dram ,  5.359588623046875000, VMPEAK ,    8292 , time , 618 
compiler , rhino-jit , testcase , array-forloop , package , 27.588851928710937500, core , 20.635650634765625000, gpu ,  0 , dram ,  5.351989746093750000, VMPEAK ,    8292 , time , 612 
compiler , rhino-jit , testcase , array-forloop , package , 26.950195312500000000, core , 20.191223144531250000, gpu ,  0 , dram ,  5.152481079101562500, VMPEAK ,    8292 , time , 594 
compiler , rhino-jit , testcase , array-forloop , package , 27.015350341796875000, core , 20.254531860351562500, gpu ,  0 , dram ,  5.207199096679687500, VMPEAK ,    8292 , time , 595 
compiler , rhino-jit , testcase , array-forloop , package , 26.986328125000000000, core , 20.169448852539062500, gpu ,  0 , dram ,  5.278381347656250000, VMPEAK ,    8292 , time , 600 
compiler , rhino-jit , testcase , array-forloop , package , 26.681655883789062500, core , 19.918960571289062500, gpu ,  0 , dram ,  5.203063964843750000, VMPEAK ,    8292 , time , 595 
