Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , mujs , testcase , array-some , package , 8.843978881835937500, core , 6.612533569335937500, gpu ,  0 , dram ,  1.707641601562500000, VMPEAK ,    8292 , time , 197 
compiler , mujs , testcase , array-some , package , 8.217834472656250000, core , 6.211547851562500000, gpu ,  0 , dram ,  1.539749145507812500, VMPEAK ,    8292 , time , 176 
compiler , mujs , testcase , array-some , package , 8.223709106445312500, core , 6.216644287109375000, gpu ,  0 , dram ,  1.557312011718750000, VMPEAK ,    8292 , time , 176 
compiler , mujs , testcase , array-some , package , 8.316146850585937500, core , 6.285690307617187500, gpu ,  0 , dram ,  1.566299438476562500, VMPEAK ,    8292 , time , 179 
compiler , mujs , testcase , array-some , package , 8.232009887695312500, core , 6.224182128906250000, gpu ,  0 , dram ,  1.557189941406250000, VMPEAK ,    8292 , time , 176 
compiler , mujs , testcase , array-some , package , 8.320968627929687500, core , 6.289596557617187500, gpu ,  0 , dram ,  1.566101074218750000, VMPEAK ,    8292 , time , 178 
compiler , mujs , testcase , array-some , package , 8.092910766601562500, core , 6.119796752929687500, gpu ,  0 , dram ,  1.530899047851562500, VMPEAK ,    8292 , time , 173 
compiler , mujs , testcase , array-some , package , 8.225143432617187500, core , 6.216964721679687500, gpu ,  0 , dram ,  1.539764404296875000, VMPEAK ,    8292 , time , 177 
compiler , mujs , testcase , array-some , package , 8.231765747070312500, core , 6.224029541015625000, gpu ,  0 , dram ,  1.513137817382812500, VMPEAK ,    8292 , time , 176 
compiler , mujs , testcase , array-some , package , 8.450317382812500000, core , 6.385299682617187500, gpu ,  0 , dram ,  1.592697143554687500, VMPEAK ,    8292 , time , 181 
