Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-gengc , testcase , double-linked-list , package , 20975.340789794921875000, core , 15924.496200561523437500, gpu ,  0 , dram ,  3870.489181518554687500, VMPEAK ,    8292 , time , 442458 
compiler , hermes-gengc , testcase , double-linked-list , package , 20973.727478027343750000, core , 15927.734024047851562500, gpu ,  0 , dram ,  3865.804748535156250000, VMPEAK ,    8292 , time , 441882 
compiler , hermes-gengc , testcase , double-linked-list , package , -44506.781463623046875000, core , 15969.450607299804687500, gpu ,  0 , dram ,  3874.741180419921875000, VMPEAK ,    8292 , time , 442774 
compiler , hermes-gengc , testcase , double-linked-list , package , 21018.776565551757812500, core , -49573.153457641601562500, gpu ,  0 , dram ,  3870.676239013671875000, VMPEAK ,    8292 , time , 442524 
compiler , hermes-gengc , testcase , double-linked-list , package , 20986.632354736328125000, core , 15938.574737548828125000, gpu ,  0 , dram ,  3867.767684936523437500, VMPEAK ,    8292 , time , 442201 
compiler , hermes-gengc , testcase , double-linked-list , package , -44534.447540283203125000, core , 15947.237518310546875000, gpu ,  0 , dram ,  3870.589187622070312500, VMPEAK ,    8292 , time , 442631 
compiler , hermes-gengc , testcase , double-linked-list , package , 21035.468429565429687500, core , 15974.946578979492187500, gpu ,  0 , dram ,  3873.629180908203125000, VMPEAK ,    8292 , time , 442882 
compiler , hermes-gengc , testcase , double-linked-list , package , 21045.345031738281250000, core , -49552.937728881835937500, gpu ,  0 , dram ,  3876.964248657226562500, VMPEAK ,    8292 , time , 443323 
compiler , hermes-gengc , testcase , double-linked-list , package , -44539.976867675781250000, core , 15948.694549560546875000, gpu ,  0 , dram ,  3861.605911254882812500, VMPEAK ,    8292 , time , 441949 
compiler , hermes-gengc , testcase , double-linked-list , package , 21007.044601440429687500, core , 15957.646270751953125000, gpu ,  0 , dram ,  3861.850677490234375000, VMPEAK ,    8292 , time , 442079 
