Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-hades , testcase , double-linked-list , package , 16728.987838745117187500, core , 10792.019958496093750000, gpu ,  0 , dram ,  2111.497360229492187500, VMPEAK ,    8236 , time , 405880 
compiler , hermes-hades , testcase , double-linked-list , package , 16749.618072509765625000, core , 10829.770233154296875000, gpu ,  0 , dram ,  2085.024810791015625000, VMPEAK ,    8236 , time , 403385 
compiler , hermes-hades , testcase , double-linked-list , package , -48757.799682617187500000, core , 10848.040451049804687500, gpu ,  0 , dram ,  2099.061645507812500000, VMPEAK ,    8236 , time , 404031 
compiler , hermes-hades , testcase , double-linked-list , package , 16771.019088745117187500, core , -54686.539657592773437500, gpu ,  0 , dram ,  2123.295867919921875000, VMPEAK ,    8236 , time , 403777 
compiler , hermes-hades , testcase , double-linked-list , package , 16774.163726806640625000, core , 10847.598907470703125000, gpu ,  0 , dram ,  2154.672958374023437500, VMPEAK ,    8236 , time , 404258 
compiler , hermes-hades , testcase , double-linked-list , package , 16782.567245483398437500, core , 10849.472732543945312500, gpu ,  0 , dram ,  2157.726074218750000000, VMPEAK ,    8236 , time , 404344 
compiler , hermes-hades , testcase , double-linked-list , package , -48767.543151855468750000, core , 10845.415252685546875000, gpu ,  0 , dram ,  2153.000976562500000000, VMPEAK ,    8236 , time , 403692 
compiler , hermes-hades , testcase , double-linked-list , package , 16760.215286254882812500, core , 10836.405227661132812500, gpu ,  0 , dram ,  2154.631042480468750000, VMPEAK ,    8236 , time , 403961 
compiler , hermes-hades , testcase , double-linked-list , package , 16692.421966552734375000, core , 10792.940078735351562500, gpu ,  0 , dram ,  2138.753845214843750000, VMPEAK ,    8236 , time , 402416 
compiler , hermes-hades , testcase , double-linked-list , package , 16771.856887817382812500, core , 10839.197692871093750000, gpu ,  0 , dram ,  2133.726348876953125000, VMPEAK ,    8236 , time , 404644 
