Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , fannkuch-redux , package , 78.442932128906250000, core , 59.231842041015625000, gpu ,  0 , dram ,  14.749511718750000000, VMPEAK ,    8292 , time , 1689 
compiler , js-52 , testcase , fannkuch-redux , package , 79.152633666992187500, core , 59.885665893554687500, gpu ,  0 , dram ,  14.789657592773437500, VMPEAK ,    8292 , time , 1694 
compiler , js-52 , testcase , fannkuch-redux , package , 78.456054687500000000, core , 59.371841430664062500, gpu ,  0 , dram ,  14.683212280273437500, VMPEAK ,    8292 , time , 1679 
compiler , js-52 , testcase , fannkuch-redux , package , 79.430694580078125000, core , 60.100387573242187500, gpu ,  0 , dram ,  14.864364624023437500, VMPEAK ,    8292 , time , 1699 
compiler , js-52 , testcase , fannkuch-redux , package , 79.678268432617187500, core , 60.288604736328125000, gpu ,  0 , dram ,  14.892242431640625000, VMPEAK ,    8292 , time , 1703 
compiler , js-52 , testcase , fannkuch-redux , package , 77.683273315429687500, core , 58.789962768554687500, gpu ,  0 , dram ,  14.538497924804687500, VMPEAK ,    8292 , time , 1660 
compiler , js-52 , testcase , fannkuch-redux , package , 78.953689575195312500, core , 59.752487182617187500, gpu ,  0 , dram ,  14.715591430664062500, VMPEAK ,    8292 , time , 1687 
compiler , js-52 , testcase , fannkuch-redux , package , 78.766845703125000000, core , 59.620544433593750000, gpu ,  0 , dram ,  14.697097778320312500, VMPEAK ,    8292 , time , 1681 
compiler , js-52 , testcase , fannkuch-redux , package , 78.937103271484375000, core , 59.744338989257812500, gpu ,  0 , dram ,  14.803726196289062500, VMPEAK ,    8292 , time , 1686 
compiler , js-52 , testcase , fannkuch-redux , package , 79.871383666992187500, core , 60.463958740234375000, gpu ,  0 , dram ,  14.926193237304687500, VMPEAK ,    8292 , time , 1705 
