Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js , testcase , iter-double-linked-list , package , 47.333511352539062500, core , 35.583938598632812500, gpu ,  0 , dram ,  9.649108886718750000, VMPEAK ,    8292 , time , 1010 
compiler , js , testcase , iter-double-linked-list , package , 47.594024658203125000, core , 35.826843261718750000, gpu ,  0 , dram ,  9.590011596679687500, VMPEAK ,    8292 , time , 1009 
compiler , js , testcase , iter-double-linked-list , package , 47.082580566406250000, core , 35.454223632812500000, gpu ,  0 , dram ,  9.499160766601562500, VMPEAK ,    8292 , time , 999 
compiler , js , testcase , iter-double-linked-list , package , 48.930618286132812500, core , 36.855026245117187500, gpu ,  0 , dram ,  9.846572875976562500, VMPEAK ,    8292 , time , 1037 
compiler , js , testcase , iter-double-linked-list , package , 48.037689208984375000, core , 36.191421508789062500, gpu ,  0 , dram ,  9.640304565429687500, VMPEAK ,    8292 , time , 1017 
compiler , js , testcase , iter-double-linked-list , package , 47.486267089843750000, core , 35.765838623046875000, gpu ,  0 , dram ,  9.536254882812500000, VMPEAK ,    8292 , time , 1005 
compiler , js , testcase , iter-double-linked-list , package , 47.722976684570312500, core , 35.945709228515625000, gpu ,  0 , dram ,  9.643447875976562500, VMPEAK ,    8292 , time , 1011 
compiler , js , testcase , iter-double-linked-list , package , 49.102432250976562500, core , 36.982711791992187500, gpu ,  0 , dram ,  9.917053222656250000, VMPEAK ,    8292 , time , 1041 
compiler , js , testcase , iter-double-linked-list , package , 48.329864501953125000, core , 36.428359985351562500, gpu ,  0 , dram ,  9.705780029296875000, VMPEAK ,    8292 , time , 1022 
compiler , js , testcase , iter-double-linked-list , package , 48.977920532226562500, core , 36.905029296875000000, gpu ,  0 , dram ,  9.785461425781250000, VMPEAK ,    8292 , time , 1036 
