Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , hermes-hades , testcase , iter-linked-list , package , 5210.684982299804687500, core , 3949.585830688476562500, gpu ,  0 , dram ,  967.909576416015625000, VMPEAK ,    8292 , time , 110590 
compiler , hermes-hades , testcase , iter-linked-list , package , 5262.302871704101562500, core , 3988.848541259765625000, gpu ,  0 , dram ,  975.592956542968750000, VMPEAK ,    8292 , time , 111510 
compiler , hermes-hades , testcase , iter-linked-list , package , 5216.935440063476562500, core , 3953.998504638671875000, gpu ,  0 , dram ,  967.588668823242187500, VMPEAK ,    8292 , time , 110582 
compiler , hermes-hades , testcase , iter-linked-list , package , 5223.951553344726562500, core , 3962.035018920898437500, gpu ,  0 , dram ,  966.401138305664062500, VMPEAK ,    8292 , time , 110487 
compiler , hermes-hades , testcase , iter-linked-list , package , -60313.979721069335937500, core , 3958.899032592773437500, gpu ,  0 , dram ,  967.685684204101562500, VMPEAK ,    8292 , time , 110589 
compiler , hermes-hades , testcase , iter-linked-list , package , 5275.112304687500000000, core , 3998.483383178710937500, gpu ,  0 , dram ,  977.378250122070312500, VMPEAK ,    8292 , time , 111755 
compiler , hermes-hades , testcase , iter-linked-list , package , 5261.427185058593750000, core , 3987.913528442382812500, gpu ,  0 , dram ,  975.264221191406250000, VMPEAK ,    8292 , time , 111482 
compiler , hermes-hades , testcase , iter-linked-list , package , 5217.564926147460937500, core , 3955.411392211914062500, gpu ,  0 , dram ,  966.289215087890625000, VMPEAK ,    8292 , time , 110487 
compiler , hermes-hades , testcase , iter-linked-list , package , 5239.289566040039062500, core , 3970.614410400390625000, gpu ,  0 , dram ,  970.053909301757812500, VMPEAK ,    8292 , time , 110999 
compiler , hermes-hades , testcase , iter-linked-list , package , 5219.939880371093750000, core , 3955.680938720703125000, gpu ,  0 , dram ,  967.412155151367187500, VMPEAK ,    8292 , time , 110554 
