Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , js-52 , testcase , iter-linked-list , package , 103.594589233398437500, core , 78.120452880859375000, gpu ,  0 , dram ,  19.584365844726562500, VMPEAK ,    8292 , time , 2230 
compiler , js-52 , testcase , iter-linked-list , package , 104.001358032226562500, core , 78.522415161132812500, gpu ,  0 , dram ,  19.638687133789062500, VMPEAK ,    8292 , time , 2227 
compiler , js-52 , testcase , iter-linked-list , package , 103.981674194335937500, core , 78.536880493164062500, gpu ,  0 , dram ,  19.658157348632812500, VMPEAK ,    8292 , time , 2225 
compiler , js-52 , testcase , iter-linked-list , package , 103.459442138671875000, core , 78.172958374023437500, gpu ,  0 , dram ,  19.452178955078125000, VMPEAK ,    8292 , time , 2211 
compiler , js-52 , testcase , iter-linked-list , package , 104.031219482421875000, core , 78.621551513671875000, gpu ,  0 , dram ,  19.566345214843750000, VMPEAK ,    8292 , time , 2222 
compiler , js-52 , testcase , iter-linked-list , package , 104.300567626953125000, core , 78.833770751953125000, gpu ,  0 , dram ,  19.552520751953125000, VMPEAK ,    8292 , time , 2226 
compiler , js-52 , testcase , iter-linked-list , package , 103.543853759765625000, core , 78.263473510742187500, gpu ,  0 , dram ,  19.377258300781250000, VMPEAK ,    8292 , time , 2211 
compiler , js-52 , testcase , iter-linked-list , package , 103.470458984375000000, core , 78.225036621093750000, gpu ,  0 , dram ,  19.383087158203125000, VMPEAK ,    8292 , time , 2208 
compiler , js-52 , testcase , iter-linked-list , package , 104.039596557617187500, core , 78.657485961914062500, gpu ,  0 , dram ,  19.544464111328125000, VMPEAK ,    8292 , time , 2220 
compiler , js-52 , testcase , iter-linked-list , package , 103.600769042968750000, core , 78.321594238281250000, gpu ,  0 , dram ,  19.483642578125000000, VMPEAK ,    8292 , time , 2210 
