Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , rhino-jit , testcase , iter-linked-list , package , 175.763458251953125000, core , 131.522247314453125000, gpu ,  0 , dram ,  35.342147827148437500, VMPEAK ,    8292 , time , 3833 
compiler , rhino-jit , testcase , iter-linked-list , package , 167.435241699218750000, core , 126.058029174804687500, gpu ,  0 , dram ,  33.067825317382812500, VMPEAK ,    8292 , time , 3582 
compiler , rhino-jit , testcase , iter-linked-list , package , 176.223281860351562500, core , 132.713256835937500000, gpu ,  0 , dram ,  34.739410400390625000, VMPEAK ,    8292 , time , 3769 
compiler , rhino-jit , testcase , iter-linked-list , package , 174.736968994140625000, core , 131.652984619140625000, gpu ,  0 , dram ,  34.104980468750000000, VMPEAK ,    8292 , time , 3733 
compiler , rhino-jit , testcase , iter-linked-list , package , 176.405136108398437500, core , 132.830566406250000000, gpu ,  0 , dram ,  34.636520385742187500, VMPEAK ,    8292 , time , 3773 
compiler , rhino-jit , testcase , iter-linked-list , package , 176.811782836914062500, core , 133.187667846679687500, gpu ,  0 , dram ,  34.562820434570312500, VMPEAK ,    8292 , time , 3780 
compiler , rhino-jit , testcase , iter-linked-list , package , 176.856323242187500000, core , 133.338195800781250000, gpu ,  0 , dram ,  34.688751220703125000, VMPEAK ,    8292 , time , 3771 
compiler , rhino-jit , testcase , iter-linked-list , package , 165.664627075195312500, core , 124.752426147460937500, gpu ,  0 , dram ,  32.661651611328125000, VMPEAK ,    8292 , time , 3540 
compiler , rhino-jit , testcase , iter-linked-list , package , 169.372817993164062500, core , 127.689849853515625000, gpu ,  0 , dram ,  33.397430419921875000, VMPEAK ,    8292 , time , 3608 
compiler , rhino-jit , testcase , iter-linked-list , package , 175.680358886718750000, core , 132.431762695312500000, gpu ,  0 , dram ,  34.675079345703125000, VMPEAK ,    8292 , time , 3745 
