Compiler , , Test , , Package (J) , , CPU (J) , , GPU (J) , , DRAM (J) , , VMPEAK (KB) , , Time (ms) , 
 compiler , d8 , testcase , loop , package , 8.339584350585937500, core , 5.168121337890625000, gpu ,  0 , dram ,  1.142272949218750000, VMPEAK ,    8236 , time , 219 
compiler , d8 , testcase , loop , package , 10.657211303710937500, core , 3.720932006835937500, gpu ,  0 , dram ,  2.516143798828125000, VMPEAK ,    8236 , time , 480 
compiler , d8 , testcase , loop , package , 8.730926513671875000, core , 4.894653320312500000, gpu ,  0 , dram ,  1.375228881835937500, VMPEAK ,    8236 , time , 266 
compiler , d8 , testcase , loop , package , 8.265151977539062500, core , 5.183258056640625000, gpu ,  0 , dram ,  1.114410400390625000, VMPEAK ,    8236 , time , 213 
compiler , d8 , testcase , loop , package , 8.279159545898437500, core , 5.195129394531250000, gpu ,  0 , dram ,  1.115722656250000000, VMPEAK ,    8236 , time , 213 
compiler , d8 , testcase , loop , package , 8.282196044921875000, core , 5.198150634765625000, gpu ,  0 , dram ,  1.113708496093750000, VMPEAK ,    8236 , time , 213 
compiler , d8 , testcase , loop , package , 8.292205810546875000, core , 5.207901000976562500, gpu ,  0 , dram ,  1.111984252929687500, VMPEAK ,    8236 , time , 214 
compiler , d8 , testcase , loop , package , 8.289123535156250000, core , 5.203796386718750000, gpu ,  0 , dram ,  1.116561889648437500, VMPEAK ,    8236 , time , 213 
compiler , d8 , testcase , loop , package , 8.290237426757812500, core , 5.204315185546875000, gpu ,  0 , dram ,  1.129928588867187500, VMPEAK ,    8236 , time , 213 
compiler , d8 , testcase , loop , package , 8.298538208007812500, core , 5.212493896484375000, gpu ,  0 , dram ,  1.110946655273437500, VMPEAK ,    8236 , time , 213 
